f_score,recall,accuracy,model,precision,mets,prompt,img,shots,ent_met_person0_promptTrue,acc_met_person0_promptTrue,ent_met_person1_promptTrue,acc_met_person1_promptTrue,ent_met_person2_promptTrue,acc_met_person2_promptTrue,ent_met_person3_promptTrue,acc_met_person3_promptTrue,ent_met_person4_promptTrue,acc_met_person4_promptTrue,ent_met_person0_promptFalse,acc_met_person0_promptFalse,ent_met_person1_promptFalse,acc_met_person1_promptFalse,ent_met_person2_promptFalse,acc_met_person2_promptFalse,ent_met_person3_promptFalse,acc_met_person3_promptFalse,ent_met_person4_promptFalse,acc_met_person4_promptFalse,ent_met_misceallonous0_promptTrue,acc_met_misceallonous0_promptTrue,ent_met_misceallonous1_promptTrue,acc_met_misceallonous1_promptTrue,ent_met_misceallonous2_promptTrue,acc_met_misceallonous2_promptTrue,ent_met_misceallonous3_promptTrue,acc_met_misceallonous3_promptTrue,ent_met_misceallonous4_promptTrue,acc_met_misceallonous4_promptTrue,ent_met_misceallonous0_promptFalse,acc_met_misceallonous0_promptFalse,ent_met_misceallonous1_promptFalse,acc_met_misceallonous1_promptFalse,ent_met_misceallonous2_promptFalse,acc_met_misceallonous2_promptFalse,ent_met_misceallonous3_promptFalse,acc_met_misceallonous3_promptFalse,ent_met_misceallonous4_promptFalse,acc_met_misceallonous4_promptFalse,ent_met_organization0_promptTrue,acc_met_organization0_promptTrue,ent_met_organization1_promptTrue,acc_met_organization1_promptTrue,ent_met_organization2_promptTrue,acc_met_organization2_promptTrue,ent_met_organization3_promptTrue,acc_met_organization3_promptTrue,ent_met_organization4_promptTrue,acc_met_organization4_promptTrue,ent_met_organization0_promptFalse,acc_met_organization0_promptFalse,ent_met_organization1_promptFalse,acc_met_organization1_promptFalse,ent_met_organization2_promptFalse,acc_met_organization2_promptFalse,ent_met_organization3_promptFalse,acc_met_organization3_promptFalse,ent_met_organization4_promptFalse,acc_met_organization4_promptFalse,ent_met_location0_promptTrue,acc_met_location0_promptTrue,ent_met_location1_promptTrue,acc_met_location1_promptTrue,ent_met_location2_promptTrue,acc_met_location2_promptTrue,ent_met_location3_promptTrue,acc_met_location3_promptTrue,ent_met_location4_promptTrue,acc_met_location4_promptTrue,ent_met_location0_promptFalse,acc_met_location0_promptFalse,ent_met_location1_promptFalse,acc_met_location1_promptFalse,ent_met_location2_promptFalse,acc_met_location2_promptFalse,ent_met_location3_promptFalse,acc_met_location3_promptFalse,ent_met_location4_promptFalse,acc_met_location4_promptFalse,ent_met_none0_promptTrue,acc_met_none0_promptTrue,ent_met_none1_promptTrue,acc_met_none1_promptTrue,ent_met_none2_promptTrue,acc_met_none2_promptTrue,ent_met_none3_promptTrue,acc_met_none3_promptTrue,ent_met_none4_promptTrue,acc_met_none4_promptTrue,ent_met_none0_promptFalse,acc_met_none0_promptFalse,ent_met_none1_promptFalse,acc_met_none1_promptFalse,ent_met_none2_promptFalse,acc_met_none2_promptFalse,ent_met_none3_promptFalse,acc_met_none3_promptFalse,ent_met_none4_promptFalse,acc_met_none4_promptFalse,f_score0_promptFalse,f_score4_promptFalse,f_score2_promptFalse,f_score3_promptFalse,f_score1_promptFalse,f_score0_promptFalse,f_score0_promptTrue,f_score4_promptFalse,f_score4_promptTrue,f_score2_promptFalse,f_score2_promptTrue,f_score3_promptFalse,f_score3_promptTrue,f_score1_promptFalse,f_score1_promptTrue,f_score0_promptFalse,f_score0_promptTrue,f_score4_promptFalse,f_score4_promptTrue,f_score2_promptFalse,f_score2_promptTrue,f_score3_promptFalse,f_score3_promptTrue,f_score1_promptFalse,f_score1_promptTrue,f_score0_promptFalse,f_score4_promptFalse,f_score2_promptFalse,f_score3_promptFalse,f_score1_promptFalse
0.09405940594059406,0.1371841155234657,0.32222222222222224,bert-large-uncased-whole-word-masking-squad2,0.07156308851224105,38-239-310-493,0_prompt,False,0,,,,,,,,,,,157,25,,,,,,,,,,,,,,,,,,,54,8,,,,,,,,,,,,,,,,,,,72,4,,,,,,,,,,,,,,,,,,,123,1,,,,,,,,,,,,,,,,,,,674,310,,,,,,,,,0.09405940594059406,,,,,0.09405940594059406,,,,,,,,,,0.09405940594059406,,,,,,,,,,0.09405940594059406,,,,
0.17436974789915966,0.304029304029304,0.2722222222222222,bert-large-uncased-whole-word-masking-squad2,0.12223858615611193,83-190-211-596,4_prompt,False,0,,,,,,,,,,,,,,,,,,,157,41,,,,,,,,,,,,,,,,,,,54,7,,,,,,,,,,,,,,,,,,,72,13,,,,,,,,,,,,,,,,,,,123,22,,,,,,,,,,,,,,,,,,,674,211,,0.17436974789915966,,,,,,0.17436974789915966,,,,,,,,,,0.17436974789915966,,,,,,,,,0.17436974789915966,,,
0,0,0.6400444028978733,bert-large-uncased-whole-word-masking-squad2,0,0-6157-10955-4,4_prompt,False,5,,,,,,,,,,,,,,,,,,,2217,0,,,,,,,,,,,,,,,,,,,932,0,,,,,,,,,,,,,,,,,,,923,0,,,,,,,,,,,,,,,,,,,2086,0,,,,,,,,,,,,,,,,,,,10958,10955,,0,,,,,,0,,,,,,,,,,0,,,,,,,,,0,,,
0.0012944983818770227,0.0006500893872907525,0.6394017293760225,bert-large-uncased-whole-word-masking-squad2,0.14814814814814814,4-6149-10940-23,4_prompt,False,4,,,,,,,,,,,,,,,,,,,2217,2,,,,,,,,,,,,,,,,,,,932,1,,,,,,,,,,,,,,,,,,,923,1,,,,,,,,,,,,,,,,,,,2086,0,,,,,,,,,,,,,,,,,,,10958,10940,,0.0012944983818770227,,,,,,0.0012944983818770227,,,,,,,,,,0.0012944983818770227,,,,,,,,,0.0012944983818770227,,,
0,0,0.6402196774947417,bert-large-uncased-whole-word-masking-squad2,0,0-6158-10958-0,4_prompt,False,3,,,,,,,,,,,,,,,,,,,2217,0,,,,,,,,,,,,,,,,,,,932,0,,,,,,,,,,,,,,,,,,,923,0,,,,,,,,,,,,,,,,,,,2086,0,,,,,,,,,,,,,,,,,,,10958,10958,,0,,,,,,0,,,,,,,,,,0,,,,,,,,,0,,,
0.0025848142164781904,0.001299545159194282,0.6392848796447769,bert-large-uncased-whole-word-masking-squad2,0.23529411764705882,8-6148-10934-26,4_prompt,False,2,,,,,,,,,,,,,,,,,,,2217,1,,,,,,,,,,,,,,,,,,,932,3,,,,,,,,,,,,,,,,,,,923,3,,,,,,,,,,,,,,,,,,,2086,1,,,,,,,,,,,,,,,,,,,10958,10934,,0.0025848142164781904,,,,,,0.0025848142164781904,,,,,,,,,,0.0025848142164781904,,,,,,,,,0.0025848142164781904,,,
0.001620745542949757,0.0008124796880077998,0.6401028277634961,bert-large-uncased-whole-word-masking-squad2,0.3125,5-6149-10951-11,4_prompt,False,1,,,,,,,,,,,,,,,,,,,2217,4,,,,,,,,,,,,,,,,,,,932,0,,,,,,,,,,,,,,,,,,,923,0,,,,,,,,,,,,,,,,,,,2086,1,,,,,,,,,,,,,,,,,,,10958,10951,,0.001620745542949757,,,,,,0.001620745542949757,,,,,,,,,,0.001620745542949757,,,,,,,,,0.001620745542949757,,,
0.1038374717832957,0.17624521072796934,0.26481481481481484,bert-large-uncased-whole-word-masking-squad2,0.0736,46-215-240-579,2_prompt,False,0,,,,,,,,,,,,,,,157,35,,,,,,,,,,,,,,,,,,,54,4,,,,,,,,,,,,,,,,,,,72,5,,,,,,,,,,,,,,,,,,,123,2,,,,,,,,,,,,,,,,,,,674,240,,,,,,,0.1038374717832957,,,,,,,0.1038374717832957,,,,,,,,,,0.1038374717832957,,,,,,,,0.1038374717832957,,
0.0006485084306095979,0.0003248862897985705,0.639869128301005,bert-large-uncased-whole-word-masking-squad2,0.16666666666666666,2-6154-10950-10,2_prompt,False,5,,,,,,,,,,,,,,,2217,2,,,,,,,,,,,,,,,,,,,932,0,,,,,,,,,,,,,,,,,,,923,0,,,,,,,,,,,,,,,,,,,2086,0,,,,,,,,,,,,,,,,,,,10958,10950,,,,,,,0.0006485084306095979,,,,,,,0.0006485084306095979,,,,,,,,,,0.0006485084306095979,,,,,,,,0.0006485084306095979,,
0.0006488240064882401,0.0003247807729782397,0.6400444028978733,bert-large-uncased-whole-word-masking-squad2,0.2857142857142857,2-6156-10953-5,2_prompt,False,4,,,,,,,,,,,,,,,2217,1,,,,,,,,,,,,,,,,,,,932,0,,,,,,,,,,,,,,,,,,,923,1,,,,,,,,,,,,,,,,,,,2086,0,,,,,,,,,,,,,,,,,,,10958,10953,,,,,,,0.0006488240064882401,,,,,,,0.0006488240064882401,,,,,,,,,,0.0006488240064882401,,,,,,,,0.0006488240064882401,,
