,False_0,False_1,False_2,False_3,False_4,False_5,False_6,False_7,False_8,prompt
opt-2.7b,0.05563689604685213,0.16666666666666669,0.19442351168048233,0.21852387843704776,0.20166898470097358,0.23497267759562843,0.24475997295469917,0.25544267053701014,0.26631853785900783,1
opt-2.7b,0.04419889502762431,0.11645569620253164,0.18711656441717792,0.24183976261127596,0.22319474835886213,0.24498567335243548,0.261968085106383,0.25823806321452586,0.28518746158574065,2
opt-2.7b,0.023323615160349854,0.13278008298755187,0.19364833462432224,0.24135393671817512,0.21726618705035972,0.23893183415319744,0.24069148936170218,0.24478442280945759,0.25923606762680024,3
opt-2.7b,0.07103825136612021,0.135,0.19788519637462235,0.2525547445255475,0.22614840989399293,0.25017470300489175,0.2625994694960212,0.2727905358385525,0.29163879598662207,4
opt-2.7b,0.061452513966480445,0.12131423757371526,0.196048632218845,0.24456114028507125,0.2274052478134111,0.25,0.26399447131997233,0.2742049469964664,0.3047619047619048,5
blip2-flan-t5-xxl,0.44255319148936173,0.40836940836940827,0.41564083997103546,0.4276363636363636,0.4000000000000001,0.40836940836940844,0.4352856109906002,0.4513338139870224,0.41414141414141414,1
blip2-flan-t5-xxl,0.5450861195542046,0.49873631002527374,0.5070892410341953,0.4946236559139785,0.5019857029388405,0.5031347962382445,0.5179856115107914,0.5200617283950617,0.5034013605442177,2
blip2-flan-t5-xxl,0.5626794258373206,0.4969040247678019,0.5019186492709132,0.4954545454545454,0.5014880952380952,0.4958924570575057,0.5228951255539144,0.5102339181286549,0.5084745762711864,3
blip2-flan-t5-xxl,0.5548266166822867,0.4869831546707504,0.4883546205860256,0.49733028222730735,0.49962602842183995,0.49028400597907323,0.5148514851485149,0.5033707865168539,0.509745127436282,4
blip2-flan-t5-xxl,0.545816733067729,0.5258693808312129,0.529513888888889,0.5300353356890459,0.53774385072095,0.535804549283909,0.5440278988666085,0.5361702127659574,0.5309882747068677,5
blip2-flan-t5-xl,0.491588785046729,0.5039929015084296,0.4864391951006124,0.48724714160070365,0.49641577060931896,0.5159474671669794,0.5253456221198157,0.5224719101123596,0.5090579710144928,1
blip2-flan-t5-xl,0.428909952606635,0.4625,0.47803881511746676,0.4573110893032385,0.4806949806949806,0.5024925224327019,0.5142857142857142,0.511089681774349,0.49719626168224296,2
blip2-flan-t5-xl,0.4389721627408994,0.47373271889400925,0.4694063926940639,0.4698469846984698,0.4842484248424842,0.4934333958724203,0.5247079964061095,0.5073260073260073,0.487410071942446,3
blip2-flan-t5-xl,0.5020833333333333,0.5046554934823091,0.48375451263537905,0.4895738893925657,0.5059144676979073,0.5166825548141086,0.5383903792784459,0.5228758169934641,0.5087235996326905,4
blip2-flan-t5-xl,0.4219725343320848,0.48034006376195537,0.49101796407185627,0.48387096774193544,0.49449449449449456,0.49435897435897436,0.5024630541871922,0.49949849548645936,0.49360865290068834,5
bert-large-uncased-whole-word-masking-squad2,0.05914567360350493,NA,NA,NA,NA,NA,NA,NA,NA,1
bert-large-uncased-whole-word-masking-squad2,0.08574091332712024,NA,NA,NA,NA,NA,NA,NA,NA,2
bert-large-uncased-whole-word-masking-squad2,0.07692307692307693,NA,NA,NA,NA,NA,NA,NA,NA,3
bert-large-uncased-whole-word-masking-squad2,0.08437200383509108,NA,NA,NA,NA,NA,NA,NA,NA,4
bert-large-uncased-whole-word-masking-squad2,0.1091581868640148,NA,NA,NA,NA,NA,NA,NA,NA,5
mplug-owl-llama-7b-ft,0.31225296442687744,0.3113264688067837,0.305537873965627,0.2860520094562648,0.30218068535825543,0.33085106382978724,0.3146591970121382,0.3234081539166285,0.3226397800183318,1
mplug-owl-llama-7b-ft,0.2399392558845862,0.31812725090036015,0.3132686084142395,0.3011152416356877,0.28225806451612906,0.3389221556886228,0.3062596999482669,0.3347457627118644,0.3183632734530938,2
mplug-owl-llama-7b-ft,0.24525547445255474,0.3196066379840196,0.31943553559974336,0.29375764993880055,0.281705948372615,0.31548311990686845,0.30270270270270266,0.3148335015136226,0.3150357995226731,3
mplug-owl-llama-7b-ft,0.28688524590163933,0.3324396782841823,0.3298565840938722,0.31476683937823835,0.3136553369111509,0.3463414634146341,0.35624284077892326,0.37405906195715116,0.3614325068870523,4
mplug-owl-llama-7b-ft,0.2923076923076923,0.3355704697986577,0.3555849306014541,0.32829940906106375,0.3341584158415842,0.3708086785009862,0.35709698137443807,0.3824451410658307,0.37403216200119116,5
flan-t5-xl,0.49833333333333335,0.4814814814814815,0.4778156996587031,0.48205128205128206,0.49957228400342174,0.504007123775601,0.5104895104895105,0.5097345132743363,0.49784668389319553,1
flan-t5-xl,0.5079006772009028,0.45092322643343047,0.45038167938931295,0.44821092278719393,0.45446182152713893,0.4788461538461538,0.5101663585951941,0.5075187969924811,0.4941808415398388,2
flan-t5-xl,0.50796812749004,0.46235606731620904,0.45869947275922673,0.4595744680851064,0.4694915254237288,0.48490230905861453,0.5166809238665526,0.5100788781770377,0.48346055979643765,3
flan-t5-xl,0.5335786568537259,0.5017543859649124,0.4757033248081841,0.4842820730671198,0.5093696763202725,0.504520795660036,0.5348631950573698,0.5232974910394264,0.5187119234116624,4
flan-t5-xl,0.48176795580110493,0.4786821705426357,0.47750229568411384,0.4711359404096834,0.48623853211009177,0.49423076923076925,0.5088536812674744,0.5004812319538017,0.48734770384254916,5
llama-7b-hf,0.28686327077747986,0.30068027210884357,0.2960482250502344,0.2772020725388601,0.28202247191011237,0.3102232667450059,0.31071983428275507,0.3228180862250263,0.3060921248142645,1
llama-7b-hf,0.15959252971137522,0.2849122807017544,0.28475033738191635,0.2546419098143236,0.24561403508771926,0.2930315664085765,0.28108672936259144,0.2928688078388677,0.2994764397905759,2
llama-7b-hf,0.1547139403706688,0.27450980392156865,0.27102803738317754,0.244,0.24260011607661053,0.2862232779097387,0.27921406411582206,0.2890237175951462,0.30647709320695105,3
llama-7b-hf,0.2910344827586207,0.33053221288515405,0.3296272073250491,0.30477436232831917,0.317711503347535,0.34394904458598724,0.33137485311398357,0.3649546827794562,0.33810888252149,4
llama-7b-hf,0.30680173661360344,0.321353065539112,0.3495663775850567,0.32585751978891825,0.3256681168427595,0.349740932642487,0.3307276007215875,0.35228677379480844,0.35497319833234064,5
flamingo,0.13536585365853657,0.28859483301827354,0.3352453792224347,0.32807570977917977,0.3551068883610451,0.35900545785324445,0.36394176931690925,0.3624856156501726,0.3498607242339833,1
flamingo,0.0784313725490196,0.20958083832335328,0.20804953560371517,0.23091482649842274,0.25813820673900634,0.29387269482450923,0.2790942601369142,0.287596048298573,0.2821576763485477,2
flamingo,0.07024519549370443,0.19196160767846432,0.21782178217821785,0.23329129886506933,0.2540937323546019,0.29804849201655825,0.2861635220125786,0.2857142857142857,0.2753623188405797,3
flamingo,0.13390139987827143,0.28294573643410853,0.3214739517153748,0.3415559772296015,0.3571428571428571,0.35922933499067744,0.3697578263437685,0.38066465256797577,0.3848837209302326,4
flamingo,0.09566903684550743,0.2506527415143603,0.3348242811501598,0.3440860215053763,0.3573629081947012,0.3499684144030322,0.3653618030842231,0.37349397590361444,0.37037037037037035,5
flan-t5-xxl,0.4381568310428456,0.39306358381502887,0.4112961622013034,0.4291970802919708,0.39883551673944684,0.41269841269841273,0.4361549497847919,0.4553191489361702,0.40804597701149425,1
flan-t5-xxl,0.5574092247301276,0.4983221476510067,0.511986301369863,0.49419568822553894,0.4984326018808777,0.494556765163297,0.529182879377432,0.5219364599092284,0.5014792899408282,2
flan-t5-xxl,0.5517241379310345,0.4868519909842224,0.4913857677902621,0.48680351906158353,0.5003625815808557,0.49521002210759024,0.5272206303724928,0.5189421015010722,0.503925767309065,3
flan-t5-xxl,0.5429553264604812,0.4720774385703648,0.4808414725770097,0.4831207801950488,0.4955489614243323,0.4910714285714286,0.5082212257100149,0.5081240768094536,0.5029498525073747,4
flan-t5-xxl,0.5547169811320755,0.5120132560066281,0.5294117647058822,0.5155172413793104,0.5436241610738255,0.5371900826446281,0.5462328767123287,0.544251447477254,0.5333333333333333,5
