,False_0,False_1,False_2,False_3,False_4,False_5,False_6,False_7,False_8,prompt
opt-2.7b,0.006191950464396284,0.12803889789303077,0.08681672025723473,0.056939501779359435,0.09516380655226209,0.0939183987682833,0.09846153846153846,0.09884169884169884,0.09338521400778209,1
opt-2.7b,0.12523719165085387,0.14759535655058043,0.08773500447627575,0.08295964125560537,0.11654135338345865,0.11653543307086614,0.10756040530007793,0.10140405616224649,0.11424100156494522,2
opt-2.7b,0.014218009478672985,0.13915857605177995,0.07992733878292461,0.06847697756788665,0.09302325581395347,0.09546165884194052,0.09119496855345913,0.09004739336492892,0.09389671361502347,3
opt-2.7b,0.13917525773195877,0.13976705490848587,0.10584958217270195,0.08139534883720931,0.10762331838565022,0.09494163424124513,0.09464701318851823,0.08791208791208792,0.09501557632398754,4
opt-2.7b,0.20673076923076922,0.15371024734982333,0.1444866920152091,0.14167650531286893,0.14206642066420666,0.1235340109460516,0.12802498048399688,0.11708860759493674,0.12628255722178375,5
blip2-flan-t5-xxl,0.4131147540983606,0.3946188340807175,0.42324561403508776,0.42185792349726775,0.4307692307692308,0.41810344827586204,0.42529989094874593,0.41784548422198037,0.4279475982532751,1
blip2-flan-t5-xxl,0.5250338294993234,0.5449358059914408,0.5335157318741449,0.5229960578186598,0.5333333333333332,0.518041237113402,0.5449664429530201,0.5338645418326693,0.5382585751978892,2
blip2-flan-t5-xxl,0.46844660194174764,0.5378378378378379,0.5277777777777778,0.49939686369119424,0.5174129353233832,0.49516908212560384,0.5042630937880633,0.5067319461444308,0.5102286401925391,3
blip2-flan-t5-xxl,0.49809402795425667,0.5466847090663058,0.5362694300518134,0.5277777777777778,0.5348837209302325,0.5163727959697733,0.5175879396984924,0.5207547169811321,0.5303593556381659,4
blip2-flan-t5-xxl,0.5195154777927321,0.5416666666666666,0.5456953642384106,0.5367741935483871,0.5373525557011795,0.5248407643312102,0.5294117647058824,0.5289672544080605,0.5426751592356689,5
blip2-flan-t5-xl,0.5478991596638656,0.5022831050228311,0.5242424242424243,0.47397260273972597,0.4992743105950652,0.47814207650273227,0.45827814569536424,0.4731774415405777,0.45637583892617445,1
blip2-flan-t5-xl,0.5181159420289856,0.5408348457350273,0.5390625,0.5297113752122241,0.5115452930728243,0.519134775374376,0.5181518151815182,0.536332179930796,0.5360134003350083,2
blip2-flan-t5-xl,0.5557522123893806,0.5784832451499118,0.6007326007326007,0.5670103092783505,0.5719237435008666,0.5511551155115512,0.5195618153364632,0.5407166123778501,0.5422647527910686,3
blip2-flan-t5-xl,0.5498154981549817,0.5632798573975045,0.5776173285198555,0.5684210526315789,0.5719360568383659,0.5684931506849314,0.5427135678391961,0.5498281786941581,0.5612244897959184,4
blip2-flan-t5-xl,0.523076923076923,0.5551601423487544,0.5788497217068647,0.5615251299826691,0.5688073394495413,0.5555555555555555,0.5565217391304348,0.5653710247349824,0.5684575389948008,5
bert-large-uncased-whole-word-masking-squad2,0.02163833075734158,NA,NA,NA,NA,NA,NA,NA,NA,1
