,False_0,False_1,False_2,False_3,False_4,False_5,False_6,False_7,False_8,prompt
opt-2.7b,0.020833333333333332,0.0954356846473029,0.09756097560975609,0.11257035647279551,0.10516252390057361,0.12417685794920036,0.12048192771084337,0.12637362637362637,0.13200723327305608,1
opt-2.7b,0.003091190108191654,0.06299212598425197,0.07856341189674523,0.1108829568788501,0.10800385728061718,0.12439261418853254,0.12097560975609757,0.11811811811811813,0.12562313060817548,2
opt-2.7b,0.003577817531305903,0.06744487678339818,0.07879490150637312,0.09355509355509355,0.11416921508664628,0.1281790437436419,0.12601626016260165,0.11582213029989659,0.11214953271028037,3
opt-2.7b,0.0041841004184100415,0.07493540051679587,0.07746478873239437,0.08783783783783783,0.09100998890122086,0.10596026490066225,0.10745614035087718,0.09719222462203023,0.10446137105549509,4
opt-2.7b,0.011695906432748539,0.054869684499314134,0.07771428571428571,0.09771986970684039,0.10548523206751054,0.12177502579979363,0.11812627291242361,0.11642411642411642,0.12616339193381593,5
blip2-flan-t5-xxl,0.3104895104895105,0.2998696219035202,0.3374485596707819,0.3391655450874832,0.35470668485675305,0.3381770145310436,0.3656509695290859,0.3571428571428572,0.35135135135135137,1
blip2-flan-t5-xxl,0.37714285714285717,0.4549019607843137,0.42696629213483145,0.44403669724770645,0.42357274401473294,0.41801801801801797,0.40595903165735564,0.4015151515151516,0.40733944954128437,2
blip2-flan-t5-xxl,0.3770197486535009,0.39928698752228164,0.39361702127659576,0.38754325259515565,0.38128249566724437,0.38047138047138046,0.3784722222222222,0.3838028169014085,0.3814432989690722,3
blip2-flan-t5-xxl,0.37996545768566503,0.4070175438596491,0.4049295774647887,0.39514731369150785,0.40209790209790214,0.40878378378378377,0.3923611111111111,0.3943661971830986,0.4027538726333907,4
blip2-flan-t5-xxl,0.36614853195164077,0.3963636363636364,0.3907637655417407,0.40630472854640987,0.39649122807017545,0.4006849315068493,0.39372822299651566,0.3867595818815331,0.39304347826086955,5
blip2-flan-t5-xl,0.2442477876106195,0.3016759776536313,0.3166023166023165,0.30939226519337015,0.3159851301115242,0.30258302583025826,0.32363636363636367,0.3175182481751825,0.3180212014134276,1
blip2-flan-t5-xl,0.18421052631578946,0.3282051282051282,0.3366834170854271,0.35799522673031026,0.35061728395061725,0.36049382716049383,0.37254901960784315,0.3712871287128713,0.3737864077669902,2
blip2-flan-t5-xl,0.2320185614849188,0.2974828375286041,0.31264367816091954,0.33488372093023255,0.3341176470588235,0.33636363636363636,0.33867276887871856,0.34032634032634035,0.35526315789473684,3
blip2-flan-t5-xl,0.23441396508728182,0.30952380952380953,0.317016317016317,0.3224299065420561,0.31250000000000006,0.31529411764705884,0.3293556085918855,0.33729216152019004,0.35348837209302325,4
blip2-flan-t5-xl,0.24277456647398843,0.3333333333333333,0.3222506393861892,0.38141809290953543,0.36132315521628494,0.3707317073170731,0.37198067632850246,0.3653846153846154,0.380952380952381,5
bert-large-uncased-whole-word-masking-squad2,0.02158273381294964,NA,NA,NA,NA,NA,NA,NA,NA,1
bert-large-uncased-whole-word-masking-squad2,0.02662721893491124,NA,NA,NA,NA,NA,NA,NA,NA,2
bert-large-uncased-whole-word-masking-squad2,0.014727540500736378,NA,NA,NA,NA,NA,NA,NA,NA,3
bert-large-uncased-whole-word-masking-squad2,0.031704095112285335,NA,NA,NA,NA,NA,NA,NA,NA,4
bert-large-uncased-whole-word-masking-squad2,0.05093833780160858,NA,NA,NA,NA,NA,NA,NA,NA,5
mplug-owl-llama-7b-ft,0.15935334872979215,0.1432896064581231,0.13886384129846707,0.14298323036187113,0.14412811387900357,0.158123370981755,0.15201900237529695,0.14662273476112028,0.16261525565800503,1
mplug-owl-llama-7b-ft,0.15608465608465608,0.1540084388185654,0.14967462039045554,0.16595744680851066,0.17965367965367968,0.1639676113360324,0.15849056603773584,0.1644100580270793,0.15547024952015356,2
