,False_0,False_1,False_2,False_3,False_4,False_5,False_6,False_7,False_8,prompt
opt-2.7b,0.00936768149882904,0.06973058637083994,0.10046728971962617,0.10177514792899409,0.09201623815967525,0.08104886769964242,0.061619718309859156,0.0670391061452514,0.07940904893813482,1
opt-2.7b,0.01683029453015428,0.07485029940119761,0.1033210332103321,0.12031782065834279,0.11357340720221605,0.11435523114355231,0.0815956482320943,0.0769990128331688,0.07063572149344097,2
opt-2.7b,0.00644122383252818,0.04487179487179487,0.0855614973262032,0.09547123623011017,0.08819345661450924,0.08831168831168831,0.07757805108798485,0.07446808510638298,0.06743940990516333,3
opt-2.7b,0.007272727272727274,0.054249547920433995,0.07774798927613942,0.10513447432762836,0.09957325746799431,0.09113924050632911,0.06863679694947569,0.06097560975609756,0.06719367588932806,4
opt-2.7b,0.012965964343598054,0.06382978723404256,0.0951086956521739,0.1179422835633626,0.11413043478260869,0.12098765432098765,0.08494921514312095,0.0737937559129612,0.08092485549132948,5
blip2-flan-t5-xxl,0.3012211668928087,0.3103448275862069,0.3247631935047361,0.310935441370224,0.31836734693877555,0.3274695534506089,0.31662269129287596,0.32925170068027215,0.32171581769436997,1
blip2-flan-t5-xxl,0.36869565217391304,0.4472271914132379,0.43006993006993005,0.4288224956063269,0.4397905759162304,0.42906574394463665,0.4349315068493151,0.43508771929824563,0.4322469982847342,2
blip2-flan-t5-xxl,0.3645320197044335,0.41680672268907565,0.4026845637583892,0.39669421487603307,0.4033333333333333,0.3953871499176277,0.4,0.3979933110367893,0.39087947882736157,3
blip2-flan-t5-xxl,0.38762214983713356,0.42276422764227645,0.40789473684210525,0.4047217537942664,0.41471571906354515,0.4,0.4143556280587276,0.4205298013245033,0.41479099678456594,4
blip2-flan-t5-xxl,0.367003367003367,0.4190800681431005,0.41438356164383555,0.411764705882353,0.41438356164383555,0.4148397976391231,0.4260162601626016,0.42689075630252094,0.4269293924466338,5
blip2-flan-t5-xl,0.24482758620689657,0.313953488372093,0.3005366726296959,0.2936096718480138,0.28200972447325773,0.28618421052631576,0.29787234042553196,0.2993421052631579,0.29126213592233013,1
blip2-flan-t5-xl,0.19002375296912113,0.33580246913580253,0.36283185840707965,0.3774403470715835,0.35269709543568467,0.3375527426160338,0.3721881390593047,0.3708333333333333,0.3689727463312369,2
blip2-flan-t5-xl,0.21544715447154472,0.31063829787234043,0.3111111111111111,0.32064128256513025,0.31034482758620685,0.3076923076923077,0.3270676691729323,0.31716417910447764,0.3202979515828678,3
blip2-flan-t5-xl,0.24096385542168677,0.2822966507177034,0.28444444444444444,0.2951541850220264,0.29122055674518205,0.2814498933901919,0.31648351648351647,0.30936819172113283,0.3096774193548387,4
blip2-flan-t5-xl,0.2578796561604585,0.3306666666666667,0.3429951690821256,0.36674816625916873,0.3610451306413302,0.35377358490566035,0.3644646924829157,0.3607305936073059,0.36613272311212813,5
bert-large-uncased-whole-word-masking-squad2,0.02158273381294964,NA,NA,NA,NA,NA,NA,NA,NA,1
