,False_0,False_1,False_2,False_3,False_4,False_5,False_6,False_7,False_8,True_0,True_1,True_2,True_3,True_4,True_5,True_6,True_7,True_8,prompt
opt-2.7b,0.02760736196319018,0.1996644295302013,0.2287529785544083,0.21025641025641023,0.2080745341614907,0.2141732283464567,0.2034174125305126,0.2216538789428815,0.21845893310753597,NA,NA,NA,NA,NA,NA,NA,NA,NA,1
opt-2.7b,0.0320855614973262,0.14928057553956836,0.21967213114754103,0.18839360807401173,0.21742605915267785,0.2220447284345048,0.22788844621513946,0.23033252230332524,0.23923444976076555,NA,NA,NA,NA,NA,NA,NA,NA,NA,2
opt-2.7b,0.022675736961451247,0.1806797853309481,0.2181234963913392,0.19039735099337748,0.22981366459627328,0.2220484753713839,0.21783741120757696,0.21462639109697934,0.24044585987261147,NA,NA,NA,NA,NA,NA,NA,NA,NA,3
opt-2.7b,0.03443708609271523,0.215091066782307,0.2539949537426409,0.24196277495769883,0.24143556280587275,0.2398042414355628,0.25244299674267107,0.24592833876221498,0.24207011686143573,NA,NA,NA,NA,NA,NA,NA,NA,NA,4
opt-2.7b,0.03225806451612903,0.20390070921985817,0.25,0.23398804440649018,0.24918032786885247,0.24815119145439601,0.24277456647398846,0.25615763546798026,0.2612982744453574,NA,NA,NA,NA,NA,NA,NA,NA,NA,5
blip2-flan-t5-xxl,0.41897233201581036,0.3300380228136882,0.47943037974683544,0.4526813880126183,0.4390625,0.4724409448818897,0.4727272727272727,0.4546172059984214,0.4388318863456985,0.40948616600790516,0.3467070401211204,0.442023346303502,0.41802641802641805,0.40863531225905936,0.4226006191950465,0.4111714507370054,0.41400778210116734,0.41025641025641024,1
blip2-flan-t5-xxl,0.6002055498458376,0.48997384481255446,0.5171503957783641,0.5100788781770377,0.5025641025641026,0.5105663567202029,0.5101694915254238,0.5178105994787142,0.5218150087260036,0.5690721649484536,0.48346055979643765,0.5,0.4987190435525192,0.49376558603491283,0.5008375209380235,0.5029436501261564,0.4991539763113367,0.499151103565365,2
blip2-flan-t5-xxl,0.5379188712522046,0.5050505050505051,0.5277540563620837,0.5187074829931974,0.5263157894736843,0.5309150865622423,0.5304420350291911,0.5213746856663872,0.5271186440677966,0.5189094107299911,0.49535080304311074,0.526405451448041,0.514817950889077,0.5141430948419301,0.5141903171953255,0.5138539042821159,0.5126050420168067,0.510530749789385,3
blip2-flan-t5-xxl,0.5138539042821159,0.5070892410341952,0.5451476793248945,0.5270270270270271,0.5277088502894954,0.5272727272727272,0.5363408521303259,0.5326633165829145,0.5372881355932203,0.4835164835164835,0.4896265560165976,0.5237288135593219,0.5207100591715976,0.5229741019214702,0.5217391304347826,0.5151515151515152,0.5193277310924369,0.514817950889077,4
blip2-flan-t5-xxl,0.5288640595903167,0.4747215081405313,0.5176876617773943,0.5039232781168265,0.5064157399486741,0.511864406779661,0.5089058524173027,0.5115483319076133,0.5187074829931972,0.49512670565302147,0.45742904841402343,0.5017006802721089,0.5017064846416383,0.4983333333333334,0.5004170141784821,0.4979044425817267,0.4903442485306465,0.49328859060402686,5
blip2-flan-t5-xl,0.5875440658049353,0.5324027916251245,0.551063829787234,0.5556756756756757,0.5379876796714579,0.5550847457627118,0.5509989484752891,0.545077720207254,0.5307769929364278,0.5537383177570093,0.5066162570888469,0.5425101214574899,0.5574112734864302,0.539147670961348,0.5552115583075335,0.5499485066941298,0.5432349949135301,0.5328031809145128,1
blip2-flan-t5-xl,0.44444444444444436,0.47512437810945274,0.4876905041031652,0.49433106575963726,0.5136612021857924,0.5071350164654226,0.5049396267837541,0.49614112458654913,0.4839779005524862,0.4621968616262482,0.48250000000000004,0.4923076923076922,0.5098952270081489,0.5071350164654226,0.5101580135440181,0.5118912797281994,0.5039193729003358,0.4870931537598204,2
blip2-flan-t5-xl,0.5357142857142858,0.5193482688391039,0.5370950888192267,0.5368421052631579,0.537165510406343,0.5376128385155466,0.5456369107321966,0.5251509054325956,0.5143992055610724,0.5461346633416458,0.503968253968254,0.5294117647058824,0.5426195426195426,0.5370548604427334,0.5510406342913777,0.5514485514485514,0.5436507936507937,0.5185909980430529,3
blip2-flan-t5-xl,0.5831265508684863,0.5487804878048781,0.5348595213319459,0.540192926045016,0.5439672801635993,0.5362318840579711,0.5338894681960376,0.5358255451713396,0.5165165165165165,0.5675,0.5450941526263626,0.5478887744593204,0.5472103004291845,0.54,0.547544409613375,0.5464025026068822,0.5469556243550051,0.5245245245245245,4
blip2-flan-t5-xl,0.45428571428571424,0.5096153846153846,0.5133565621370499,0.4902186421173763,0.5248070562293276,0.5116796440489433,0.510022271714922,0.49944008958566627,0.49390919158361024,0.4180790960451977,0.5224586288416074,0.5159763313609468,0.502979737783075,0.5221339387060159,0.5266821345707656,0.5157526254375729,0.5127020785219399,0.5022727272727273,5
bert-large-uncased-whole-word-masking-squad2,0.11308016877637132,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1
bert-large-uncased-whole-word-masking-squad2,0.1256961018297534,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2
bert-large-uncased-whole-word-masking-squad2,0.10823909531502424,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3
bert-large-uncased-whole-word-masking-squad2,0.14363778298204527,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4
bert-large-uncased-whole-word-masking-squad2,0.16049382716049385,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5
flan-t5-xl,0.5662650602409639,0.5009208103130754,0.5353535353535354,0.545077720207254,0.531496062992126,0.5399999999999999,0.5383848454636092,0.5310957551826258,0.5175097276264592,NA,NA,NA,NA,NA,NA,NA,NA,NA,1
flan-t5-xl,0.5388739946380697,0.4642857142857143,0.4788087056128293,0.4972375690607735,0.49204665959703076,0.489451476793249,0.489406779661017,0.48459086078639746,0.47568710359408034,NA,NA,NA,NA,NA,NA,NA,NA,NA,2
flan-t5-xl,0.5938242280285035,0.5201970443349753,0.5208545269582909,0.5215605749486653,0.5259117082533589,0.5412221144519884,0.5436893203883495,0.5288932419196866,0.5229007633587786,NA,NA,NA,NA,NA,NA,NA,NA,NA,3
flan-t5-xl,0.6049661399548533,0.5328330206378986,0.5258964143426295,0.5443425076452599,0.525096525096525,0.5288932419196866,0.5299313052011776,0.5234375,0.5176022835394862,NA,NA,NA,NA,NA,NA,NA,NA,NA,4
flan-t5-xl,0.5298507462686567,0.4984025559105431,0.5047318611987381,0.49734325185972367,0.5040650406504065,0.5086469989827059,0.5005107252298264,0.4836734693877551,0.4817073170731707,NA,NA,NA,NA,NA,NA,NA,NA,NA,5
llama-7b-hf,0.2491490810074881,0.30650804758572425,0.29503546099290784,0.27304714989444057,0.2975495915985998,0.2984709480122324,0.2921348314606742,0.2936458975940777,0.29504232164449823,NA,NA,NA,NA,NA,NA,NA,NA,NA,1
llama-7b-hf,0.2076069730586371,0.28722600151171573,0.2886904761904762,0.2651296829971182,0.28983688833124216,0.29381443298969073,0.29561805101373445,0.29510309278350516,0.3049738219895288,NA,NA,NA,NA,NA,NA,NA,NA,NA,2
llama-7b-hf,0.17265087853323147,0.3059532780708365,0.2897058823529412,0.24999999999999994,0.2799013563501849,0.2911392405063291,0.2910495814552479,0.2942675159235669,0.2906976744186046,NA,NA,NA,NA,NA,NA,NA,NA,NA,3
llama-7b-hf,0.2735781137508999,0.34063604240282686,0.3156404812455768,0.2937062937062937,0.3106674984404242,0.3075916230366492,0.2996005326231691,0.3086092715231788,0.2980132450331126,NA,NA,NA,NA,NA,NA,NA,NA,NA,4
llama-7b-hf,0.29010989010989013,0.32786885245901637,0.31959508315256685,0.2980225988700565,0.30609597924773024,0.3161419959812458,0.31322033898305085,0.3170731707317073,0.31722260040844114,NA,NA,NA,NA,NA,NA,NA,NA,NA,5
opt-6.7b,0,0.18556701030927833,0.2603273577552611,0.23420647149460708,0.27586206896551724,0.24035608308605338,0.23826714801444043,0.2511326860841424,0.2574955908289242,NA,NA,NA,NA,NA,NA,NA,NA,NA,1
opt-6.7b,0,0.16891284815813118,0.2421875,0.2133550488599349,0.25080385852090026,0.25061830173124483,0.23613312202852618,0.2642066420664207,0.2714801444043321,NA,NA,NA,NA,NA,NA,NA,NA,NA,2
opt-6.7b,0,0.15084294587400177,0.2239382239382239,0.2091713596138375,0.2378716744913928,0.21428571428571425,0.22452229299363055,0.24023154848046313,0.27228070175438596,NA,NA,NA,NA,NA,NA,NA,NA,NA,3
opt-6.7b,0,0.2129547471162378,0.2539432176656152,0.22705314009661837,0.2723214285714286,0.254886630179828,0.2548076923076923,0.2476050110537951,0.2849426063470628,NA,NA,NA,NA,NA,NA,NA,NA,NA,4
opt-6.7b,0,0.1971326164874552,0.26080000000000003,0.2425742574257426,0.2837209302325582,0.2645914396887159,0.2711598746081505,0.2725903614457831,0.282453637660485,NA,NA,NA,NA,NA,NA,NA,NA,NA,5
flan-t5-xxl,0.41448382126348227,0.2961832061068702,0.4812150279776179,0.457774269928966,0.4336973478939158,0.4847537138389366,0.4791830322073841,0.46467817896389324,0.4569169960474308,NA,NA,NA,NA,NA,NA,NA,NA,NA,1
flan-t5-xxl,0.5821596244131455,0.49445865302642794,0.5161839863713799,0.5201026518391788,0.5166112956810631,0.5138211382113821,0.5131578947368421,0.5221017514595496,0.5185810810810811,NA,NA,NA,NA,NA,NA,NA,NA,NA,2
flan-t5-xxl,0.5164923572003218,0.5012448132780083,0.5368682684341343,0.5246449456975774,0.5282714054927301,0.5240384615384615,0.5304136253041363,0.521951219512195,0.5300411522633744,NA,NA,NA,NA,NA,NA,NA,NA,NA,3
flan-t5-xxl,0.4949258391881343,0.5062034739454094,0.5342237061769616,0.5237698081734778,0.5233033524121014,0.5306122448979592,0.5279605263157895,0.5292662819455894,0.5341098169717138,NA,NA,NA,NA,NA,NA,NA,NA,NA,4
flan-t5-xxl,0.49258649093904444,0.4857621440536013,0.5087866108786611,0.5068027210884354,0.5062034739454094,0.5115894039735099,0.4987572493786247,0.5117845117845118,0.5100671140939597,NA,NA,NA,NA,NA,NA,NA,NA,NA,5
blip2-opt-2.7b,0.0068143100511073255,0.13815789473684212,0.006688963210702341,0.0187207488299532,0.17830290010741143,0.14463276836158193,0.14070351758793967,0.12213740458015268,0.15384615384615385,0.014010507880910683,0.11636363636363636,0.08069164265129683,0.10092961487383798,0.17011995637949837,0.14855875831485588,0.15151515151515152,0.15469613259668508,0.13163972286374134,1
