,False_0,False_1,False_2,False_3,False_4,False_5,False_6,False_7,False_8,prompt
opt-2.7b,0.03278688524590164,0.203288490284006,0.21995286724273366,0.24190350297422336,0.24969696969696967,0.2581946545637922,0.23481308411214952,0.26325193567599764,0.27098078867542974,1
opt-2.7b,0.043478260869565216,0.17152373022481265,0.18703855619360132,0.23050379572118704,0.23047375160051214,0.25,0.2304964539007092,0.2553459119496856,0.26549780839073256,2
opt-2.7b,0.05707762557077625,0.14192495921696574,0.15737704918032788,0.21220527045769763,0.21966101694915252,0.24578575312669929,0.21969696969696967,0.2576847612818836,0.2558139534883721,3
opt-2.7b,0.054570259208731244,0.1970289288506646,0.21018062397372744,0.23049894588896694,0.26920462270564244,0.26653102746693796,0.24825362708221382,0.2912513842746401,0.2832432432432433,4
opt-2.7b,0.0254957507082153,0.17376775271512115,0.2031640299750208,0.23198352779684284,0.25698988697204045,0.25575698187163154,0.25712804561949193,0.2915109450080085,0.27696793002915454,5
blip2-flan-t5-xxl,0.4132841328413284,0.35345454545454547,0.41297935103244837,0.3940740740740741,0.40597014925373137,0.4110787172011662,0.45809248554913296,0.47041636230825423,0.41744102930664767,1
blip2-flan-t5-xxl,0.5134883720930232,0.5698005698005698,0.5606773283160865,0.5738636363636364,0.5649289099526066,0.5565693430656935,0.5519713261648745,0.5502645502645502,0.46712018140589573,2
blip2-flan-t5-xxl,0.48653061224489796,0.5220228384991843,0.5282093213409649,0.531687242798354,0.5365448504983389,0.5011746280344557,0.5007751937984496,0.5084485407066053,0.47103085026335595,3
blip2-flan-t5-xxl,0.4696485623003194,0.49801113762927607,0.5047021943573667,0.5192926045016076,0.5115170770452739,0.5084745762711865,0.5033809166040571,0.503793626707132,0.4965197215777262,4
blip2-flan-t5-xxl,0.4729493891797557,0.4903765690376569,0.524126455906822,0.5346187554776511,0.5519713261648747,0.5392491467576791,0.5246710526315789,0.5212418300653595,0.5007974481658691,5
blip2-flan-t5-xl,0.4989293361884368,0.5127161749745677,0.5384615384615385,0.5219999999999999,0.5274509803921569,0.5087040618955513,0.5052430886558628,0.5129740518962076,0.4854545454545454,1
blip2-flan-t5-xl,0.41102181400688864,0.4982778415614237,0.540478905359179,0.5395033860045146,0.5625692137320044,0.5544554455445544,0.542483660130719,0.5452538631346578,0.5009633911368014,2
blip2-flan-t5-xl,0.43823845327604727,0.5075593952483802,0.5401301518438177,0.5249457700650759,0.572020725388601,0.54230377166157,0.5317220543806647,0.5412474849094567,0.4705882352941177,3
blip2-flan-t5-xl,0.5285087719298246,0.5215562565720295,0.5499462943071967,0.5370950888192267,0.555093555093555,0.5445134575569358,0.5173824130879346,0.5257623554153523,0.4869402985074627,4
