,False_0,False_1,False_2,False_3,False_4,False_5,False_6,False_7,False_8,prompt
opt-2.7b,0.006230529595015577,0.12479740680713129,0.12279355333844974,0.1234375,0.10668789808917198,0.11191047162270185,0.09582689335394126,0.0916530278232406,0.07424960505529225,1
opt-2.7b,0.06614785992217899,0.13333333333333333,0.14363778298204527,0.12954186413902052,0.12903225806451613,0.129764801297648,0.11664074650077763,0.1256788207913111,0.10451306413301663,2
opt-2.7b,0.009216589861751152,0.12293144208037823,0.1256788207913111,0.12607003891050586,0.11525423728813557,0.12295081967213115,0.1092896174863388,0.11093750000000001,0.09171075837742504,3
opt-2.7b,0.05420054200542005,0.1205392545598731,0.13280632411067192,0.13438735177865613,0.11914893617021277,0.1206030150753769,0.11673151750972763,0.11980830670926516,0.07603305785123966,4
opt-2.7b,0.07427055702917773,0.12955465587044535,0.14626391096979333,0.1419457735247209,0.13837489943684636,0.13945857260049221,0.12588512981904013,0.1316211878009631,0.10853950518754989,5
blip2-flan-t5-xxl,0.38998957247132426,0.3935828877005348,0.42345276872964166,0.40825190010857765,0.4069264069264069,0.4048140043763676,0.42352941176470593,0.42534908700322227,0.4128342245989305,1
blip2-flan-t5-xxl,0.5130208333333333,0.5139072847682119,0.5158730158730159,0.5160427807486632,0.5212765957446808,0.5137614678899083,0.5063938618925831,0.503875968992248,0.4963144963144963,2
blip2-flan-t5-xxl,0.4409799554565701,0.4981684981684982,0.5207547169811321,0.5247148288973384,0.4891566265060241,0.5135135135135135,0.49106078665077474,0.49334945586457085,0.4864864864864865,3
blip2-flan-t5-xxl,0.4728132387706856,0.5138539042821159,0.532484076433121,0.5319693094629157,0.5175879396984924,0.5221799746514576,0.5268414481897628,0.5263157894736842,0.5091799265605874,4
blip2-flan-t5-xxl,0.49230769230769234,0.5082174462705437,0.5322997416020672,0.5340314136125655,0.5208596713021493,0.5328185328185329,0.5304568527918782,0.5257861635220126,0.5110565110565112,5
blip2-flan-t5-xl,0.5326797385620915,0.5158227848101266,0.5153374233128835,0.4836795252225519,0.4879432624113475,0.48185776487663284,0.4828571428571428,0.4797768479776848,0.47058823529411764,1
blip2-flan-t5-xl,0.5486381322957199,0.5234375,0.5646630236794171,0.5571955719557196,0.5512367491166077,0.5714285714285715,0.5594149908592322,0.5579710144927537,0.5895117540687161,2
blip2-flan-t5-xl,0.5641952983725135,0.5840707964601769,0.5724381625441696,0.5734513274336284,0.5621805792163544,0.5759717314487633,0.5818815331010453,0.5675213675213675,0.575809199318569,3
blip2-flan-t5-xl,0.5697896749521989,0.558983666061706,0.5745062836624776,0.5719424460431655,0.5559440559440559,0.5724637681159421,0.5740072202166064,0.5693693693693694,0.5827338129496402,4
