,False_0,False_1,False_2,False_3,False_4,True_0,True_1,True_2,True_3,True_4,prompt
opt-2.7b,0.031294452347083924,0.21165919282511209,0.2060164083865087,0.1528925619834711,0.1509433962264151,NA,NA,NA,NA,NA,1
opt-2.7b,0.019184652278177457,0.15824594852240226,0.21755027422303475,0.08571428571428572,0.26615969581749055,NA,NA,NA,NA,NA,2
opt-2.7b,0.010139416983523447,0.13756613756613756,0.0234375,0.17997977755308395,0.19821605550049554,NA,NA,NA,NA,NA,3
opt-2.7b,0.03145478374836173,0.03291139240506329,0.2254025044722719,0.09876543209876543,0.19547325102880658,NA,NA,NA,NA,NA,4
opt-2.7b,0.04773869346733668,0.20358152686145142,0.11856823266219238,0.10538922155688621,0.2254901960784314,NA,NA,NA,NA,NA,5
blip2-flan-t5-xxl,0.4603174603174603,0.3872216844143272,0.47438330170777976,0.46915887850467297,0.4839319470699432,0.4700665188470066,0.43945312500000006,0.48269410664172124,0.43429636533084803,0.421455938697318,1
blip2-flan-t5-xxl,0.6736842105263158,0.6165228113440198,0.5850945494994438,0.6101295641931684,0.5983701979045402,0.6612685560053981,0.5551912568306011,0.5871766029246344,0.5774804905239689,0.6049237983587339,2
blip2-flan-t5-xxl,0.6385542168674699,0.582089552238806,0.5338567222767419,0.54989816700611,0.5807770961145194,0.6573604060913706,0.5238095238095238,0.533197139938713,0.5698924731182796,0.5449101796407185,3
blip2-flan-t5-xxl,0.6285046728971962,0.5478887744593203,0.538160469667319,0.5655737704918031,0.5810526315789473,0.6485148514851485,0.5717439293598234,0.5664864864864865,0.5426515930113052,0.5809935205183585,4
blip2-flan-t5-xxl,0.6446700507614213,0.5985748218527316,0.5730337078651685,0.5695792880258899,0.5997666277712952,0.6222826086956522,0.5610561056105611,0.5767955801104971,0.5887640449438203,0.607565011820331,5
blip2-flan-t5-xl,0.6004962779156328,0.5388828039430449,0.5393258426966292,0.5283018867924528,0.5537098560354374,0.5651672433679354,0.5363247863247863,0.5697940503432495,0.5462274176408076,0.5830429732868758,1
blip2-flan-t5-xl,0.6028708133971291,0.6227208976157083,0.6487252124645893,0.6346153846153846,0.5934640522875817,0.6102189781021898,0.6279391424619641,0.6373333333333333,0.5642857142857143,0.5776173285198555,2
blip2-flan-t5-xl,0.6149425287356322,0.58679706601467,0.5857142857142857,0.5767441860465117,0.607843137254902,0.5943775100401607,0.6002400960384153,0.5707814269535674,0.6055045871559632,0.5730464326160816,3
blip2-flan-t5-xl,0.6428571428571429,0.5905882352941177,0.581901489117984,0.5536105032822757,0.5704467353951891,0.6531713900134952,0.5814771395076203,0.6233128834355828,0.5757225433526012,0.5834305717619603,4
