f_score,recall,accuracy,model,precision,mets,prompt,img,shots,ent_met_person,acc_met_person,ent_met_misceallonous,acc_met_misceallonous,ent_met_organization,acc_met_organization,ent_met_location,acc_met_location,ent_met_none,acc_met_none,f_score0_promptFalse,f_score4_promptFalse,f_score2_promptFalse,f_score3_promptFalse,f_score1_promptFalse
0.09405940594059406,0.1371841155234657,0.32222222222222224,bert-large-uncased-whole-word-masking-squad2,0.07156308851224105,38-239-310-493,0_prompt,False,0,,,,,,,,,,,0.09405940594059406,,,,
0.17436974789915966,0.304029304029304,0.2722222222222222,bert-large-uncased-whole-word-masking-squad2,0.12223858615611193,83-190-211-596,4_prompt,False,0,,,,,,,,,,,,0.17436974789915966,,,
0,0,0.6400444028978733,bert-large-uncased-whole-word-masking-squad2,0,0-6157-10955-4,4_prompt,False,5,,,,,,,,,,,,0,,,
0.0012944983818770227,0.0006500893872907525,0.6394017293760225,bert-large-uncased-whole-word-masking-squad2,0.14814814814814814,4-6149-10940-23,4_prompt,False,4,,,,,,,,,,,,0.0012944983818770227,,,
0,0,0.6402196774947417,bert-large-uncased-whole-word-masking-squad2,0,0-6158-10958-0,4_prompt,False,3,,,,,,,,,,,,0,,,
0.0025848142164781904,0.001299545159194282,0.6392848796447769,bert-large-uncased-whole-word-masking-squad2,0.23529411764705882,8-6148-10934-26,4_prompt,False,2,,,,,,,,,,,,0.0025848142164781904,,,
0.001620745542949757,0.0008124796880077998,0.6401028277634961,bert-large-uncased-whole-word-masking-squad2,0.3125,5-6149-10951-11,4_prompt,False,1,,,,,,,,,,,,0.001620745542949757,,,
0.1038374717832957,0.17624521072796934,0.26481481481481484,bert-large-uncased-whole-word-masking-squad2,0.0736,46-215-240-579,2_prompt,False,0,,,,,,,,,,,,,0.1038374717832957,,
0.0006485084306095979,0.0003248862897985705,0.639869128301005,bert-large-uncased-whole-word-masking-squad2,0.16666666666666666,2-6154-10950-10,2_prompt,False,5,,,,,,,,,,,,,0.0006485084306095979,,
0.0006488240064882401,0.0003247807729782397,0.6400444028978733,bert-large-uncased-whole-word-masking-squad2,0.2857142857142857,2-6156-10953-5,2_prompt,False,4,,,,,,,,,,,,,0.0006488240064882401,,
0,0,0.6402196774947417,bert-large-uncased-whole-word-masking-squad2,0,0-6158-10958-0,2_prompt,False,3,,,,,,,,,,,,,0,,
0.0022609819121447027,0.0011372867587327376,0.6390511801822856,bert-large-uncased-whole-word-masking-squad2,0.1891891891891892,7-6148-10931-30,2_prompt,False,2,,,,,,,,,,,,,0.0022609819121447027,,
0.000648403306856865,0.0003248862897985705,0.639810703435382,bert-large-uncased-whole-word-masking-squad2,0.15384615384615385,2-6154-10949-11,2_prompt,False,1,,,,,,,,,,,,,0.000648403306856865,,
0.1254054054054054,0.22053231939163498,0.25092592592592594,bert-large-uncased-whole-word-masking-squad2,0.08761329305135952,58-205-213-604,3_prompt,False,0,,,,,,,,,,,,,,0.1254054054054054,
0.0006480881399870382,0.0003248862897985705,0.6396354288385137,bert-large-uncased-whole-word-masking-squad2,0.125,2-6154-10946-14,3_prompt,False,5,,,,,,,,,,,,,,0.0006480881399870382,
0,0,0.6402196774947417,bert-large-uncased-whole-word-masking-squad2,0,0-6158-10958-0,3_prompt,False,4,,,,,,,,,,,,,,0,
0.00032441200324412003,0.00016241676140977748,0.6399275531666277,bert-large-uncased-whole-word-masking-squad2,0.125,1-6156-10952-7,3_prompt,False,3,,,,,,,,,,,,,,0.00032441200324412003,
0.000648403306856865,0.0003248862897985705,0.639810703435382,bert-large-uncased-whole-word-masking-squad2,0.15384615384615385,2-6154-10949-11,3_prompt,False,2,,,,,,,,,,,,,,0.000648403306856865,
0.0012907389480477573,0.0006509357200976403,0.6383500817948119,bert-large-uncased-whole-word-masking-squad2,0.07547169811320754,4-6141-10922-49,3_prompt,False,1,,,,,,,,,,,,,,0.0012907389480477573,
0.1254054054054054,0.2196969696969697,0.25092592592592594,bert-large-uncased-whole-word-masking-squad2,0.08774583963691376,58-206-213-603,1_prompt,False,0,,,,,,,,,,,,,,,0.1254054054054054
0,0,0.6402196774947417,bert-large-uncased-whole-word-masking-squad2,0,0-6158-10958-0,1_prompt,False,5,,,,,,,,,,,,,,,0
0,0,0.6400444028978733,bert-large-uncased-whole-word-masking-squad2,0,0-6157-10955-4,1_prompt,False,4,,,,,,,,,,,,,,,0
0,0,0.6402196774947417,bert-large-uncased-whole-word-masking-squad2,0,0-6158-10958-0,1_prompt,False,3,,,,,,,,,,,,,,,0
0.000324517280545189,0.00016239038648911984,0.6400444028978733,bert-large-uncased-whole-word-masking-squad2,0.2,1-6157-10954-4,1_prompt,False,2,,,,,,,,,,,,,,,0.000324517280545189
0.00032462262619704593,0.00016241676140977748,0.6401612526291189,bert-large-uncased-whole-word-masking-squad2,0.25,1-6156-10956-3,1_prompt,False,1,,,,,,,,,,,,,,,0.00032462262619704593
