f_score,recall,accuracy,model,precision,mets,prompt,img,shots,ent_met_person,acc_met_person,ent_met_misceallonous,acc_met_misceallonous,ent_met_organization,acc_met_organization,ent_met_location,acc_met_location,ent_met_none,acc_met_none,f_score0_promptFalse,f_score0_promptTrue,f_score4_promptFalse,f_score4_promptTrue,f_score2_promptFalse,f_score2_promptTrue,f_score3_promptFalse,f_score3_promptTrue,f_score1_promptFalse,f_score1_promptTrue
0.40460526315789475,0.3178294573643411,0.6648148148148149,blip2-flan-t5-xl,0.5565610859728507,123-264-595-98,0_prompt,False,5,,,,,,,,,,,0.40460526315789475,,,,,,,,,
0.4263322884012539,0.35602094240837695,0.6611111111111111,blip2-flan-t5-xl,0.53125,136-246-578-120,0_prompt,False,4,,,,,,,,,,,0.4263322884012539,,,,,,,,,
0.4476190476190475,0.37105263157894736,0.6777777777777778,blip2-flan-t5-xl,0.564,141-239-591-109,0_prompt,False,3,,,,,,,,,,,0.4476190476190475,,,,,,,,,
0.460984393757503,0.5597667638483965,0.5842592592592593,blip2-flan-t5-xl,0.39183673469387753,192-151-439-298,0_prompt,False,2,,,,,,,,,,,0.460984393757503,,,,,,,,,
0.481786133960047,0.5890804597701149,0.5916666666666667,blip2-flan-t5-xl,0.40755467196819084,205-143-434-298,0_prompt,False,1,,,,,,,,,,,0.481786133960047,,,,,,,,,
0.5926966292134831,0.5733695652173914,0.7314814814814815,blip2-flan-t5-xl,0.6133720930232558,211-157-579-133,0_prompt,False,0,,,,,,,,,,,0.5926966292134831,,,,,,,,,
0.39222614840989395,0.2860824742268041,0.6814814814814815,blip2-flan-t5-xl,0.6235955056179775,111-277-625-67,0_prompt,True,5,,,,,,,,,,,,0.39222614840989395,,,,,,,,
0.4659270998415214,0.38481675392670156,0.687962962962963,blip2-flan-t5-xl,0.5903614457831325,147-235-596-102,0_prompt,True,4,,,,,,,,,,,,0.4659270998415214,,,,,,,,
0.5,0.4251968503937008,0.7,blip2-flan-t5-xl,0.6067415730337079,162-219-594-105,0_prompt,True,3,,,,,,,,,,,,0.5,,,,,,,,
0.48074369189907035,0.5142045454545454,0.637962962962963,blip2-flan-t5-xl,0.4513715710723192,181-171-508-220,0_prompt,True,2,,,,,,,,,,,,0.48074369189907035,,,,,,,,
0.5040462427745664,0.6005509641873278,0.6027777777777777,blip2-flan-t5-xl,0.4342629482071713,218-145-433-284,0_prompt,True,1,,,,,,,,,,,,0.5040462427745664,,,,,,,,
0.6216596343178622,0.5877659574468085,0.7509259259259259,blip2-flan-t5-xl,0.6597014925373135,221-155-590-114,0_prompt,True,0,,,,,,,,,,,,0.6216596343178622,,,,,,,,
0.31067961165048547,0.20151133501259447,0.6712962962962963,blip2-flan-t5-xl,0.6779661016949152,80-317-645-38,4_prompt,False,5,,,,,,,,,,,,,0.31067961165048547,,,,,,,
0.30616302186878724,0.1925,0.6768518518518518,blip2-flan-t5-xl,0.7475728155339806,77-323-654-26,4_prompt,False,4,,,,,,,,,,,,,0.30616302186878724,,,,,,,
0.42402826855123676,0.3022670025188917,0.6981481481481482,blip2-flan-t5-xl,0.7100591715976331,120-277-634-49,4_prompt,False,3,,,,,,,,,,,,,0.42402826855123676,,,,,,,
0.5015873015873016,0.40616966580976865,0.7092592592592593,blip2-flan-t5-xl,0.6556016597510373,158-231-608-83,4_prompt,False,2,,,,,,,,,,,,,0.5015873015873016,,,,,,,
0.5397301349325337,0.4699738903394256,0.7157407407407408,blip2-flan-t5-xl,0.6338028169014085,180-203-593-104,4_prompt,False,1,,,,,,,,,,,,,0.5397301349325337,,,,,,,
0.4781849912739965,0.35128205128205126,0.7231481481481481,blip2-flan-t5-xl,0.7486338797814208,137-253-644-46,4_prompt,False,0,,,,,,,,,,,,,0.4781849912739965,,,,,,,
0.31034482758620685,0.20300751879699247,0.6666666666666666,blip2-flan-t5-xl,0.6585365853658537,81-318-639-42,4_prompt,True,5,,,,,,,,,,,,,,0.31034482758620685,,,,,,
0.30218687872763417,0.19047619047619047,0.675,blip2-flan-t5-xl,0.7307692307692307,76-323-653-28,4_prompt,True,4,,,,,,,,,,,,,,0.30218687872763417,,,,,,
0.36090225563909767,0.24120603015075376,0.6851851851851852,blip2-flan-t5-xl,0.7164179104477612,96-302-644-38,4_prompt,True,3,,,,,,,,,,,,,,0.36090225563909767,,,,,,
0.507269789983845,0.40568475452196384,0.7175925925925926,blip2-flan-t5-xl,0.6767241379310345,157-230-618-75,4_prompt,True,2,,,,,,,,,,,,,,0.507269789983845,,,,,,
0.5329341317365269,0.46475195822454307,0.7111111111111111,blip2-flan-t5-xl,0.624561403508772,178-205-590-107,4_prompt,True,1,,,,,,,,,,,,,,0.5329341317365269,,,,,,
0.5230263157894737,0.4097938144329897,0.7314814814814815,blip2-flan-t5-xl,0.7227272727272728,159-229-631-61,4_prompt,True,0,,,,,,,,,,,,,,0.5230263157894737,,,,,,
0.15053763440860218,0.08706467661691543,0.6342592592592593,blip2-flan-t5-xl,0.5555555555555556,35-367-650-28,2_prompt,False,5,,,,,,,,,,,,,,,0.15053763440860218,,,,,
0.1601731601731602,0.09203980099502487,0.6407407407407407,blip2-flan-t5-xl,0.6166666666666667,37-365-655-23,2_prompt,False,4,,,,,,,,,,,,,,,0.1601731601731602,,,,,
0.30769230769230765,0.20100502512562815,0.6666666666666666,blip2-flan-t5-xl,0.6557377049180327,80-318-640-42,2_prompt,False,3,,,,,,,,,,,,,,,0.30769230769230765,,,,,
0.4821150855365474,0.39845758354755784,0.6916666666666667,blip2-flan-t5-xl,0.610236220472441,155-234-592-99,2_prompt,False,2,,,,,,,,,,,,,,,0.4821150855365474,,,,,
0.5341935483870968,0.552,0.6657407407407407,blip2-flan-t5-xl,0.5175,207-168-512-193,2_prompt,False,1,,,,,,,,,,,,,,,0.5341935483870968,,,,,
0.6125574272588056,0.5305039787798409,0.7657407407407407,blip2-flan-t5-xl,0.7246376811594203,200-177-627-76,2_prompt,False,0,,,,,,,,,,,,,,,0.6125574272588056,,,,,
0.19574468085106383,0.1141439205955335,0.65,blip2-flan-t5-xl,0.6865671641791045,46-357-656-21,2_prompt,True,5,,,,,,,,,,,,,,,,0.19574468085106383,,,,
0.23917525773195875,0.1457286432160804,0.6583333333333333,blip2-flan-t5-xl,0.6666666666666666,58-340-653-29,2_prompt,True,4,,,,,,,,,,,,,,,,0.23917525773195875,,,,
0.3488372093023256,0.225,0.6888888888888889,blip2-flan-t5-xl,0.7758620689655172,90-310-654-26,2_prompt,True,3,,,,,,,,,,,,,,,,0.3488372093023256,,,,
0.4833333333333333,0.37084398976982097,0.7129629629629629,blip2-flan-t5-xl,0.69377990430622,145-246-625-64,2_prompt,True,2,,,,,,,,,,,,,,,,0.4833333333333333,,,,
0.5893587994542974,0.5684210526315789,0.7212962962962963,blip2-flan-t5-xl,0.6118980169971672,216-164-563-137,2_prompt,True,1,,,,,,,,,,,,,,,,0.5893587994542974,,,,
0.6132930513595165,0.5486486486486486,0.762962962962963,blip2-flan-t5-xl,0.6952054794520548,203-167-621-89,2_prompt,True,0,,,,,,,,,,,,,,,,0.6132930513595165,,,,
0.3956442831215971,0.27735368956743,0.6916666666666667,blip2-flan-t5-xl,0.689873417721519,109-284-638-49,3_prompt,False,5,,,,,,,,,,,,,,,,,0.3956442831215971,,,
0.45438898450946646,0.3350253807106599,0.7064814814814815,blip2-flan-t5-xl,0.7058823529411765,132-262-631-55,3_prompt,False,4,,,,,,,,,,,,,,,,,0.45438898450946646,,,
0.4797297297297297,0.3594936708860759,0.7148148148148148,blip2-flan-t5-xl,0.7208121827411168,142-253-630-55,3_prompt,False,3,,,,,,,,,,,,,,,,,0.4797297297297297,,,
0.547945205479452,0.5249343832020997,0.6944444444444444,blip2-flan-t5-xl,0.5730659025787965,200-181-550-149,3_prompt,False,2,,,,,,,,,,,,,,,,,0.547945205479452,,,
0.5667915106117353,0.6021220159151194,0.6787037037037037,blip2-flan-t5-xl,0.535377358490566,227-150-506-197,3_prompt,False,1,,,,,,,,,,,,,,,,,0.5667915106117353,,,
0.6434782608695653,0.581151832460733,0.7722222222222223,blip2-flan-t5-xl,0.7207792207792207,222-160-612-86,3_prompt,False,0,,,,,,,,,,,,,,,,,0.6434782608695653,,,
0.41681901279707495,0.28860759493670884,0.7046296296296296,blip2-flan-t5-xl,0.75,114-281-647-38,3_prompt,True,5,,,,,,,,,,,,,,,,,,0.41681901279707495,,
0.4848484848484848,0.366412213740458,0.7166666666666667,blip2-flan-t5-xl,0.7164179104477612,144-249-630-57,3_prompt,True,4,,,,,,,,,,,,,,,,,,0.4848484848484848,,
0.5266666666666667,0.4040920716112532,0.737037037037037,blip2-flan-t5-xl,0.7559808612440191,158-233-638-51,3_prompt,True,3,,,,,,,,,,,,,,,,,,0.5266666666666667,,
0.6014814814814815,0.5272727272727272,0.7509259259259259,blip2-flan-t5-xl,0.7,203-182-608-87,3_prompt,True,2,,,,,,,,,,,,,,,,,,0.6014814814814815,,
0.5981308411214953,0.5957446808510638,0.7212962962962963,blip2-flan-t5-xl,0.6005361930294906,224-152-555-149,3_prompt,True,1,,,,,,,,,,,,,,,,,,0.5981308411214953,,
0.6413994169096209,0.5804749340369393,0.7722222222222223,blip2-flan-t5-xl,0.7166123778501629,220-159-614-87,3_prompt,True,0,,,,,,,,,,,,,,,,,,0.6413994169096209,,
0.13157894736842105,0.07462686567164178,0.6333333333333333,blip2-flan-t5-xl,0.5555555555555556,30-372-654-24,1_prompt,False,5,,,,,,,,,,,,,,,,,,,0.13157894736842105,
0.14410480349344978,0.08229426433915212,0.6370370370370371,blip2-flan-t5-xl,0.5789473684210527,33-368-655-24,1_prompt,False,4,,,,,,,,,,,,,,,,,,,0.14410480349344978,
0.23045267489711938,0.14105793450881612,0.6537037037037037,blip2-flan-t5-xl,0.6292134831460674,56-341-650-33,1_prompt,False,3,,,,,,,,,,,,,,,,,,,0.23045267489711938,
0.4280821917808219,0.314070351758794,0.6907407407407408,blip2-flan-t5-xl,0.6720430107526881,125-273-621-61,1_prompt,False,2,,,,,,,,,,,,,,,,,,,0.4280821917808219,
0.5504587155963303,0.46153846153846156,0.7277777777777777,blip2-flan-t5-xl,0.6818181818181818,180-210-606-84,1_prompt,False,1,,,,,,,,,,,,,,,,,,,0.5504587155963303,
0.48695652173913045,0.36363636363636365,0.7268518518518519,blip2-flan-t5-xl,0.7368421052631579,140-245-645-50,1_prompt,False,0,,,,,,,,,,,,,,,,,,,0.48695652173913045,
0.10337078651685394,0.056790123456790124,0.6305555555555555,blip2-flan-t5-xl,0.575,23-382-658-17,1_prompt,True,5,,,,,,,,,,,,,,,,,,,,0.10337078651685394
0.09610983981693362,0.05198019801980198,0.6342592592592593,blip2-flan-t5-xl,0.6363636363636364,21-383-664-12,1_prompt,True,4,,,,,,,,,,,,,,,,,,,,0.09610983981693362
0.27070707070707073,0.16791979949874686,0.6657407407407407,blip2-flan-t5-xl,0.6979166666666666,67-332-652-29,1_prompt,True,3,,,,,,,,,,,,,,,,,,,,0.27070707070707073
0.43963963963963965,0.305,0.712037037037037,blip2-flan-t5-xl,0.7870967741935484,122-278-647-33,1_prompt,True,2,,,,,,,,,,,,,,,,,,,,0.43963963963963965
0.585949177877429,0.5012787723785166,0.7435185185185185,blip2-flan-t5-xl,0.7050359712230215,196-195-607-82,1_prompt,True,1,,,,,,,,,,,,,,,,,,,,0.585949177877429
0.5346534653465346,0.4297082228116711,0.7388888888888889,blip2-flan-t5-xl,0.7074235807860262,162-215-636-67,1_prompt,True,0,,,,,,,,,,,,,,,,,,,,0.5346534653465346
