f_score,recall,accuracy,model,precision,mets,prompt,img,shots,ent_met_person0_promptTrue,acc_met_person0_promptTrue,ent_met_person1_promptTrue,acc_met_person1_promptTrue,ent_met_person2_promptTrue,acc_met_person2_promptTrue,ent_met_person3_promptTrue,acc_met_person3_promptTrue,ent_met_person4_promptTrue,acc_met_person4_promptTrue,ent_met_person0_promptFalse,acc_met_person0_promptFalse,ent_met_person1_promptFalse,acc_met_person1_promptFalse,ent_met_person2_promptFalse,acc_met_person2_promptFalse,ent_met_person3_promptFalse,acc_met_person3_promptFalse,ent_met_person4_promptFalse,acc_met_person4_promptFalse,ent_met_misceallonous0_promptTrue,acc_met_misceallonous0_promptTrue,ent_met_misceallonous1_promptTrue,acc_met_misceallonous1_promptTrue,ent_met_misceallonous2_promptTrue,acc_met_misceallonous2_promptTrue,ent_met_misceallonous3_promptTrue,acc_met_misceallonous3_promptTrue,ent_met_misceallonous4_promptTrue,acc_met_misceallonous4_promptTrue,ent_met_misceallonous0_promptFalse,acc_met_misceallonous0_promptFalse,ent_met_misceallonous1_promptFalse,acc_met_misceallonous1_promptFalse,ent_met_misceallonous2_promptFalse,acc_met_misceallonous2_promptFalse,ent_met_misceallonous3_promptFalse,acc_met_misceallonous3_promptFalse,ent_met_misceallonous4_promptFalse,acc_met_misceallonous4_promptFalse,ent_met_organization0_promptTrue,acc_met_organization0_promptTrue,ent_met_organization1_promptTrue,acc_met_organization1_promptTrue,ent_met_organization2_promptTrue,acc_met_organization2_promptTrue,ent_met_organization3_promptTrue,acc_met_organization3_promptTrue,ent_met_organization4_promptTrue,acc_met_organization4_promptTrue,ent_met_organization0_promptFalse,acc_met_organization0_promptFalse,ent_met_organization1_promptFalse,acc_met_organization1_promptFalse,ent_met_organization2_promptFalse,acc_met_organization2_promptFalse,ent_met_organization3_promptFalse,acc_met_organization3_promptFalse,ent_met_organization4_promptFalse,acc_met_organization4_promptFalse,ent_met_location0_promptTrue,acc_met_location0_promptTrue,ent_met_location1_promptTrue,acc_met_location1_promptTrue,ent_met_location2_promptTrue,acc_met_location2_promptTrue,ent_met_location3_promptTrue,acc_met_location3_promptTrue,ent_met_location4_promptTrue,acc_met_location4_promptTrue,ent_met_location0_promptFalse,acc_met_location0_promptFalse,ent_met_location1_promptFalse,acc_met_location1_promptFalse,ent_met_location2_promptFalse,acc_met_location2_promptFalse,ent_met_location3_promptFalse,acc_met_location3_promptFalse,ent_met_location4_promptFalse,acc_met_location4_promptFalse,ent_met_none0_promptTrue,acc_met_none0_promptTrue,ent_met_none1_promptTrue,acc_met_none1_promptTrue,ent_met_none2_promptTrue,acc_met_none2_promptTrue,ent_met_none3_promptTrue,acc_met_none3_promptTrue,ent_met_none4_promptTrue,acc_met_none4_promptTrue,ent_met_none0_promptFalse,acc_met_none0_promptFalse,ent_met_none1_promptFalse,acc_met_none1_promptFalse,ent_met_none2_promptFalse,acc_met_none2_promptFalse,ent_met_none3_promptFalse,acc_met_none3_promptFalse,ent_met_none4_promptFalse,acc_met_none4_promptFalse,f_score0_promptFalse,f_score4_promptFalse,f_score2_promptFalse,f_score3_promptFalse,f_score1_promptFalse,f_score0_promptFalse,f_score0_promptTrue,f_score4_promptFalse,f_score4_promptTrue,f_score2_promptFalse,f_score2_promptTrue,f_score3_promptFalse,f_score3_promptTrue,f_score1_promptFalse,f_score1_promptTrue,f_score0_promptFalse,f_score0_promptTrue,f_score4_promptFalse,f_score4_promptTrue,f_score2_promptFalse,f_score2_promptTrue,f_score3_promptFalse,f_score3_promptTrue,f_score1_promptFalse,f_score1_promptTrue,f_score0_promptFalse,f_score4_promptFalse,f_score2_promptFalse,f_score3_promptFalse,f_score1_promptFalse,f_score0_promptFalse,f_score0_promptTrue,f_score2_promptFalse,f_score2_promptTrue,f_score3_promptTrue,f_score1_promptFalse,f_score1_promptTrue,f_score0_promptFalse,f_score4_promptFalse,f_score2_promptFalse,f_score3_promptFalse,f_score1_promptFalse,f_score0_promptFalse,f_score4_promptFalse,f_score2_promptFalse,f_score3_promptFalse,f_score1_promptFalse,f_score0_promptFalse,f_score4_promptFalse,f_score2_promptFalse,f_score3_promptFalse,f_score1_promptFalse,f_score0_promptTrue,f_score0_promptFalse,f_score4_promptFalse,f_score2_promptFalse,f_score3_promptFalse,f_score1_promptFalse,f_score0_promptFalse,f_score0_promptTrue,f_score2_promptFalse,f_score2_promptTrue,f_score3_promptTrue,f_score1_promptFalse,f_score1_promptTrue
0,0,0.5731481481481482,blip2-opt-2.7b,0,0-381-619-80,0_prompt,False,5,,,,,,,,,,,157,0,,,,,,,,,,,,,,,,,,,54,0,,,,,,,,,,,,,,,,,,,72,0,,,,,,,,,,,,,,,,,,,123,0,,,,,,,,,,,,,,,,,,,674,619,,,,,,,,,0,,,,,0,,,,,,,,,,0,,,,,,,,,,0,,,,,0,,,,,,,0,,,,,0,,,,,0,,,,,,0,,,,,0,,,,,,
0.023255813953488372,0.012594458438287154,0.6111111111111112,blip2-opt-2.7b,0.15151515151515152,5-392-655-28,0_prompt,False,4,,,,,,,,,,,157,1,,,,,,,,,,,,,,,,,,,54,0,,,,,,,,,,,,,,,,,,,72,3,,,,,,,,,,,,,,,,,,,123,1,,,,,,,,,,,,,,,,,,,674,655,,,,,,,,,0.023255813953488372,,,,,0.023255813953488372,,,,,,,,,,0.023255813953488372,,,,,,,,,,0.023255813953488372,,,,,0.023255813953488372,,,,,,,0.023255813953488372,,,,,0.023255813953488372,,,,,0.023255813953488372,,,,,,0.023255813953488372,,,,,0.023255813953488372,,,,,,
0.027972027972027972,0.014925373134328358,0.6138888888888889,blip2-opt-2.7b,0.2222222222222222,6-396-657-21,0_prompt,False,3,,,,,,,,,,,157,2,,,,,,,,,,,,,,,,,,,54,0,,,,,,,,,,,,,,,,,,,72,3,,,,,,,,,,,,,,,,,,,123,1,,,,,,,,,,,,,,,,,,,674,657,,,,,,,,,0.027972027972027972,,,,,0.027972027972027972,,,,,,,,,,0.027972027972027972,,,,,,,,,,0.027972027972027972,,,,,0.027972027972027972,,,,,,,0.027972027972027972,,,,,0.027972027972027972,,,,,0.027972027972027972,,,,,,0.027972027972027972,,,,,0.027972027972027972,,,,,,
0.055084745762711856,0.03307888040712468,0.587037037037037,blip2-opt-2.7b,0.16455696202531644,13-380-621-66,0_prompt,False,2,,,,,,,,,,,157,2,,,,,,,,,,,,,,,,,,,54,1,,,,,,,,,,,,,,,,,,,72,5,,,,,,,,,,,,,,,,,,,123,5,,,,,,,,,,,,,,,,,,,674,621,,,,,,,,,0.055084745762711856,,,,,0.055084745762711856,,,,,,,,,,0.055084745762711856,,,,,,,,,,0.055084745762711856,,,,,0.055084745762711856,,,,,,,0.055084745762711856,,,,,0.055084745762711856,,,,,0.055084745762711856,,,,,,0.055084745762711856,,,,,0.055084745762711856,,,,,,
0.1340033500837521,0.11142061281337047,0.5212962962962963,blip2-opt-2.7b,0.16806722689075632,40-319-523-198,0_prompt,False,1,,,,,,,,,,,157,15,,,,,,,,,,,,,,,,,,,54,1,,,,,,,,,,,,,,,,,,,72,10,,,,,,,,,,,,,,,,,,,123,14,,,,,,,,,,,,,,,,,,,674,523,,,,,,,,,0.1340033500837521,,,,,0.1340033500837521,,,,,,,,,,0.1340033500837521,,,,,,,,,,0.1340033500837521,,,,,0.1340033500837521,,,,,,,0.1340033500837521,,,,,0.1340033500837521,,,,,0.1340033500837521,,,,,,0.1340033500837521,,,,,0.1340033500837521,,,,,,
0.02714932126696833,0.015228426395939087,0.6018518518518519,blip2-opt-2.7b,0.125,6-388-644-42,0_prompt,False,0,,,,,,,,,,,157,1,,,,,,,,,,,,,,,,,,,54,0,,,,,,,,,,,,,,,,,,,72,1,,,,,,,,,,,,,,,,,,,123,4,,,,,,,,,,,,,,,,,,,674,644,,,,,,,,,0.02714932126696833,,,,,0.02714932126696833,,,,,,,,,,0.02714932126696833,,,,,,,,,,0.02714932126696833,,,,,0.02714932126696833,,,,,,,0.02714932126696833,,,,,0.02714932126696833,,,,,0.02714932126696833,,,,,,0.02714932126696833,,,,,0.02714932126696833,,,,,,
0,0,0.6111111111111112,blip2-opt-2.7b,0,0-398-660-22,0_prompt,True,5,157,0,,,,,,,,,,,,,,,,,,,54,0,,,,,,,,,,,,,,,,,,,72,0,,,,,,,,,,,,,,,,,,,123,0,,,,,,,,,,,,,,,,,,,674,660,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,0,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,0,,,,,,,0,,,,,
0.02293577981651376,0.0125,0.6055555555555555,blip2-opt-2.7b,0.1388888888888889,5-395-649-31,0_prompt,True,4,157,1,,,,,,,,,,,,,,,,,,,54,0,,,,,,,,,,,,,,,,,,,72,3,,,,,,,,,,,,,,,,,,,123,1,,,,,,,,,,,,,,,,,,,674,649,,,,,,,,,,,,,,,,,,,,,,,,,0.02293577981651376,,,,,,,,,,0.02293577981651376,,,,,,,,,,,,,,,0.02293577981651376,,,,,,,,,,,,,,,,,,,,,0.02293577981651376,,,,,,,0.02293577981651376,,,,,
0.048351648351648346,0.027848101265822784,0.5990740740740741,blip2-opt-2.7b,0.18333333333333332,11-384-636-49,0_prompt,True,3,157,5,,,,,,,,,,,,,,,,,,,54,1,,,,,,,,,,,,,,,,,,,72,4,,,,,,,,,,,,,,,,,,,123,1,,,,,,,,,,,,,,,,,,,674,636,,,,,,,,,,,,,,,,,,,,,,,,,0.048351648351648346,,,,,,,,,,0.048351648351648346,,,,,,,,,,,,,,,0.048351648351648346,,,,,,,,,,,,,,,,,,,,,0.048351648351648346,,,,,,,0.048351648351648346,,,,,
0.03896103896103896,0.022900763358778626,0.5888888888888889,blip2-opt-2.7b,0.13043478260869565,9-384-627-60,0_prompt,True,2,157,5,,,,,,,,,,,,,,,,,,,54,0,,,,,,,,,,,,,,,,,,,72,3,,,,,,,,,,,,,,,,,,,123,1,,,,,,,,,,,,,,,,,,,674,627,,,,,,,,,,,,,,,,,,,,,,,,,0.03896103896103896,,,,,,,,,,0.03896103896103896,,,,,,,,,,,,,,,0.03896103896103896,,,,,,,,,,,,,,,,,,,,,0.03896103896103896,,,,,,,0.03896103896103896,,,,,
0.11231884057971013,0.08355795148247978,0.5462962962962963,blip2-opt-2.7b,0.1712707182320442,31-340-559-150,0_prompt,True,1,157,13,,,,,,,,,,,,,,,,,,,54,1,,,,,,,,,,,,,,,,,,,72,7,,,,,,,,,,,,,,,,,,,123,10,,,,,,,,,,,,,,,,,,,674,559,,,,,,,,,,,,,,,,,,,,,,,,,0.11231884057971013,,,,,,,,,,0.11231884057971013,,,,,,,,,,,,,,,0.11231884057971013,,,,,,,,,,,,,,,,,,,,,0.11231884057971013,,,,,,,0.11231884057971013,,,,,
0.022421524663677132,0.012853470437017995,0.5962962962962963,blip2-opt-2.7b,0.08771929824561403,5-384-639-52,0_prompt,True,0,157,2,,,,,,,,,,,,,,,,,,,54,0,,,,,,,,,,,,,,,,,,,72,2,,,,,,,,,,,,,,,,,,,123,1,,,,,,,,,,,,,,,,,,,674,639,,,,,,,,,,,,,,,,,,,,,,,,,0.022421524663677132,,,,,,,,,,0.022421524663677132,,,,,,,,,,,,,,,0.022421524663677132,,,,,,,,,,,,,,,,,,,,,0.022421524663677132,,,,,,,0.022421524663677132,,,,,
0,0,0.612037037037037,blip2-opt-2.7b,0,0-402-661-17,2_prompt,False,5,,,,,,,,,,,,,,,157,0,,,,,,,,,,,,,,,,,,,54,0,,,,,,,,,,,,,,,,,,,72,0,,,,,,,,,,,,,,,,,,,123,0,,,,,,,,,,,,,,,,,,,674,661,,,,,,,0,,,,,,,0,,,,,,,,,,0,,,,,,,,0,,,,,0,,,,,,,0,,,,,0,,,,,0,,,,,,0,,,,,0,,,,
0.009433962264150943,0.004975124378109453,0.6111111111111112,blip2-opt-2.7b,0.09090909090909091,2-400-658-20,2_prompt,False,4,,,,,,,,,,,,,,,157,0,,,,,,,,,,,,,,,,,,,54,0,,,,,,,,,,,,,,,,,,,72,1,,,,,,,,,,,,,,,,,,,123,1,,,,,,,,,,,,,,,,,,,674,658,,,,,,,0.009433962264150943,,,,,,,0.009433962264150943,,,,,,,,,,0.009433962264150943,,,,,,,,0.009433962264150943,,,,,0.009433962264150943,,,,,,,0.009433962264150943,,,,,0.009433962264150943,,,,,0.009433962264150943,,,,,,0.009433962264150943,,,,,0.009433962264150943,,,,
0,0,0.6018518518518519,blip2-opt-2.7b,0,0-394-650-36,2_prompt,False,3,,,,,,,,,,,,,,,157,0,,,,,,,,,,,,,,,,,,,54,0,,,,,,,,,,,,,,,,,,,72,0,,,,,,,,,,,,,,,,,,,123,0,,,,,,,,,,,,,,,,,,,674,650,,,,,,,0,,,,,,,0,,,,,,,,,,0,,,,,,,,0,,,,,0,,,,,,,0,,,,,0,,,,,0,,,,,,0,,,,,0,,,,
0.017204301075268814,0.01038961038961039,0.5768518518518518,blip2-opt-2.7b,0.05,4-381-619-76,2_prompt,False,2,,,,,,,,,,,,,,,157,2,,,,,,,,,,,,,,,,,,,54,0,,,,,,,,,,,,,,,,,,,72,0,,,,,,,,,,,,,,,,,,,123,2,,,,,,,,,,,,,,,,,,,674,619,,,,,,,0.017204301075268814,,,,,,,0.017204301075268814,,,,,,,,,,0.017204301075268814,,,,,,,,0.017204301075268814,,,,,0.017204301075268814,,,,,,,0.017204301075268814,,,,,0.017204301075268814,,,,,0.017204301075268814,,,,,,0.017204301075268814,,,,,0.017204301075268814,,,,
0.017857142857142856,0.010075566750629723,0.5925925925925926,blip2-opt-2.7b,0.0784313725490196,4-393-636-47,2_prompt,False,1,,,,,,,,,,,,,,,157,2,,,,,,,,,,,,,,,,,,,54,0,,,,,,,,,,,,,,,,,,,72,1,,,,,,,,,,,,,,,,,,,123,1,,,,,,,,,,,,,,,,,,,674,636,,,,,,,0.017857142857142856,,,,,,,0.017857142857142856,,,,,,,,,,0.017857142857142856,,,,,,,,0.017857142857142856,,,,,0.017857142857142856,,,,,,,0.017857142857142856,,,,,0.017857142857142856,,,,,0.017857142857142856,,,,,,0.017857142857142856,,,,,0.017857142857142856,,,,
0.009259259259259259,0.005076142131979695,0.6037037037037037,blip2-opt-2.7b,0.05263157894736842,2-392-650-36,2_prompt,False,0,,,,,,,,,,,,,,,157,1,,,,,,,,,,,,,,,,,,,54,0,,,,,,,,,,,,,,,,,,,72,0,,,,,,,,,,,,,,,,,,,123,1,,,,,,,,,,,,,,,,,,,674,650,,,,,,,0.009259259259259259,,,,,,,0.009259259259259259,,,,,,,,,,0.009259259259259259,,,,,,,,0.009259259259259259,,,,,0.009259259259259259,,,,,,,0.009259259259259259,,,,,0.009259259259259259,,,,,0.009259259259259259,,,,,,0.009259259259259259,,,,,0.009259259259259259,,,,
0,0,0.6138888888888889,blip2-opt-2.7b,0,0-402-663-15,2_prompt,True,5,,,,,157,0,,,,,,,,,,,,,,,,,,,54,0,,,,,,,,,,,,,,,,,,,72,0,,,,,,,,,,,,,,,,,,,123,0,,,,,,,,,,,,,,,,,,,674,663,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,0,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,
0.0091324200913242,0.005037783375314861,0.5981481481481481,blip2-opt-2.7b,0.04878048780487805,2-395-644-39,2_prompt,True,4,,,,,157,1,,,,,,,,,,,,,,,,,,,54,0,,,,,,,,,,,,,,,,,,,72,1,,,,,,,,,,,,,,,,,,,123,0,,,,,,,,,,,,,,,,,,,674,644,,,,,,,,,,,,,,,,,,,,,,,,,0.0091324200913242,,,,,,,,,,0.0091324200913242,,,,,,,,,,,,,0.0091324200913242,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0091324200913242,,,
0.009090909090909092,0.005089058524173028,0.5962962962962963,blip2-opt-2.7b,0.0425531914893617,2-391-642-45,2_prompt,True,3,,,,,157,1,,,,,,,,,,,,,,,,,,,54,0,,,,,,,,,,,,,,,,,,,72,1,,,,,,,,,,,,,,,,,,,123,0,,,,,,,,,,,,,,,,,,,674,642,,,,,,,,,,,,,,,,,,,,,,,,,0.009090909090909092,,,,,,,,,,0.009090909090909092,,,,,,,,,,,,,0.009090909090909092,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.009090909090909092,,,
0.04761904761904762,0.030927835051546393,0.5555555555555556,blip2-opt-2.7b,0.10344827586206896,12-376-588-104,2_prompt,True,2,,,,,157,7,,,,,,,,,,,,,,,,,,,54,1,,,,,,,,,,,,,,,,,,,72,1,,,,,,,,,,,,,,,,,,,123,3,,,,,,,,,,,,,,,,,,,674,588,,,,,,,,,,,,,,,,,,,,,,,,,0.04761904761904762,,,,,,,,,,0.04761904761904762,,,,,,,,,,,,,0.04761904761904762,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.04761904761904762,,,
0.04770642201834862,0.036011080332409975,0.5194444444444445,blip2-opt-2.7b,0.07065217391304347,13-348-548-171,2_prompt,True,1,,,,,157,5,,,,,,,,,,,,,,,,,,,54,1,,,,,,,,,,,,,,,,,,,72,5,,,,,,,,,,,,,,,,,,,123,2,,,,,,,,,,,,,,,,,,,674,548,,,,,,,,,,,,,,,,,,,,,,,,,0.04770642201834862,,,,,,,,,,0.04770642201834862,,,,,,,,,,,,,0.04770642201834862,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.04770642201834862,,,
0.03532008830022075,0.02072538860103627,0.5953703703703703,blip2-opt-2.7b,0.11940298507462686,8-378-635-59,2_prompt,True,0,,,,,157,4,,,,,,,,,,,,,,,,,,,54,0,,,,,,,,,,,,,,,,,,,72,1,,,,,,,,,,,,,,,,,,,123,3,,,,,,,,,,,,,,,,,,,674,635,,,,,,,,,,,,,,,,,,,,,,,,,0.03532008830022075,,,,,,,,,,0.03532008830022075,,,,,,,,,,,,,0.03532008830022075,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.03532008830022075,,,
0.10725552050473187,0.09826589595375723,0.4759259259259259,blip2-opt-2.7b,0.11805555555555555,34-312-480-254,3_prompt,True,1,,,,,,,157,15,,,,,,,,,,,,,,,,,,,54,3,,,,,,,,,,,,,,,,,,,72,6,,,,,,,,,,,,,,,,,,,123,10,,,,,,,,,,,,,,,,,,,674,480,,,,,,,,,,,,,,,,,,,,,,,,,0.10725552050473187,,,,,,,,,,0.10725552050473187,,,,,,,,,,,,0.10725552050473187,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.10725552050473187,,
0.03532008830022075,0.020356234096692113,0.5953703703703703,blip2-opt-2.7b,0.13333333333333333,8-385-635-52,3_prompt,True,0,,,,,,,157,3,,,,,,,,,,,,,,,,,,,54,0,,,,,,,,,,,,,,,,,,,72,3,,,,,,,,,,,,,,,,,,,123,2,,,,,,,,,,,,,,,,,,,674,635,,,,,,,,,,,,,,,,,,,,,,,,,0.03532008830022075,,,,,,,,,,0.03532008830022075,,,,,,,,,,,,0.03532008830022075,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.03532008830022075,,
0,0,0.6212962962962963,blip2-opt-2.7b,0,0-405-671-4,1_prompt,False,5,,,,,,,,,,,,,157,0,,,,,,,,,,,,,,,,,,,54,0,,,,,,,,,,,,,,,,,,,72,0,,,,,,,,,,,,,,,,,,,123,0,,,,,,,,,,,,,,,,,,,674,671,,,,,,,,,,,0,,,,,,,,,0,,,,,,,,,,0,,,,,,0,,,,,,0,,,,,,0,,,,,0,,,,,0,,,,,,0,,,,,,0,
0,0,0.6083333333333333,blip2-opt-2.7b,0,0-398-657-25,1_prompt,False,4,,,,,,,,,,,,,157,0,,,,,,,,,,,,,,,,,,,54,0,,,,,,,,,,,,,,,,,,,72,0,,,,,,,,,,,,,,,,,,,123,0,,,,,,,,,,,,,,,,,,,674,657,,,,,,,,,,,0,,,,,,,,,0,,,,,,,,,,0,,,,,,0,,,,,,0,,,,,,0,,,,,0,,,,,0,,,,,,0,,,,,,0,
0.009523809523809523,0.004975124378109453,0.6148148148148148,blip2-opt-2.7b,0.1111111111111111,2-400-662-16,1_prompt,False,3,,,,,,,,,,,,,157,0,,,,,,,,,,,,,,,,,,,54,0,,,,,,,,,,,,,,,,,,,72,1,,,,,,,,,,,,,,,,,,,123,1,,,,,,,,,,,,,,,,,,,674,662,,,,,,,,,,,0.009523809523809523,,,,,,,,,0.009523809523809523,,,,,,,,,,0.009523809523809523,,,,,,0.009523809523809523,,,,,,0.009523809523809523,,,,,,0.009523809523809523,,,,,0.009523809523809523,,,,,0.009523809523809523,,,,,,0.009523809523809523,,,,,,0.009523809523809523,
0.09199318568994891,0.0743801652892562,0.5064814814814815,blip2-opt-2.7b,0.12053571428571429,27-336-520-197,1_prompt,False,2,,,,,,,,,,,,,157,11,,,,,,,,,,,,,,,,,,,54,1,,,,,,,,,,,,,,,,,,,72,5,,,,,,,,,,,,,,,,,,,123,10,,,,,,,,,,,,,,,,,,,674,520,,,,,,,,,,,0.09199318568994891,,,,,,,,,0.09199318568994891,,,,,,,,,,0.09199318568994891,,,,,,0.09199318568994891,,,,,,0.09199318568994891,,,,,,0.09199318568994891,,,,,0.09199318568994891,,,,,0.09199318568994891,,,,,,0.09199318568994891,,,,,,0.09199318568994891,
