f_score,recall,accuracy,model,precision,mets,prompt,img,shots,ent_met_person0_promptTrue,acc_met_person0_promptTrue,ent_met_person1_promptTrue,acc_met_person1_promptTrue,ent_met_person2_promptTrue,acc_met_person2_promptTrue,ent_met_person3_promptTrue,acc_met_person3_promptTrue,ent_met_person4_promptTrue,acc_met_person4_promptTrue,ent_met_person0_promptFalse,acc_met_person0_promptFalse,ent_met_person1_promptFalse,acc_met_person1_promptFalse,ent_met_person2_promptFalse,acc_met_person2_promptFalse,ent_met_person3_promptFalse,acc_met_person3_promptFalse,ent_met_person4_promptFalse,acc_met_person4_promptFalse,ent_met_misceallonous0_promptTrue,acc_met_misceallonous0_promptTrue,ent_met_misceallonous1_promptTrue,acc_met_misceallonous1_promptTrue,ent_met_misceallonous2_promptTrue,acc_met_misceallonous2_promptTrue,ent_met_misceallonous3_promptTrue,acc_met_misceallonous3_promptTrue,ent_met_misceallonous4_promptTrue,acc_met_misceallonous4_promptTrue,ent_met_misceallonous0_promptFalse,acc_met_misceallonous0_promptFalse,ent_met_misceallonous1_promptFalse,acc_met_misceallonous1_promptFalse,ent_met_misceallonous2_promptFalse,acc_met_misceallonous2_promptFalse,ent_met_misceallonous3_promptFalse,acc_met_misceallonous3_promptFalse,ent_met_misceallonous4_promptFalse,acc_met_misceallonous4_promptFalse,ent_met_organization0_promptTrue,acc_met_organization0_promptTrue,ent_met_organization1_promptTrue,acc_met_organization1_promptTrue,ent_met_organization2_promptTrue,acc_met_organization2_promptTrue,ent_met_organization3_promptTrue,acc_met_organization3_promptTrue,ent_met_organization4_promptTrue,acc_met_organization4_promptTrue,ent_met_organization0_promptFalse,acc_met_organization0_promptFalse,ent_met_organization1_promptFalse,acc_met_organization1_promptFalse,ent_met_organization2_promptFalse,acc_met_organization2_promptFalse,ent_met_organization3_promptFalse,acc_met_organization3_promptFalse,ent_met_organization4_promptFalse,acc_met_organization4_promptFalse,ent_met_location0_promptTrue,acc_met_location0_promptTrue,ent_met_location1_promptTrue,acc_met_location1_promptTrue,ent_met_location2_promptTrue,acc_met_location2_promptTrue,ent_met_location3_promptTrue,acc_met_location3_promptTrue,ent_met_location4_promptTrue,acc_met_location4_promptTrue,ent_met_location0_promptFalse,acc_met_location0_promptFalse,ent_met_location1_promptFalse,acc_met_location1_promptFalse,ent_met_location2_promptFalse,acc_met_location2_promptFalse,ent_met_location3_promptFalse,acc_met_location3_promptFalse,ent_met_location4_promptFalse,acc_met_location4_promptFalse,ent_met_none0_promptTrue,acc_met_none0_promptTrue,ent_met_none1_promptTrue,acc_met_none1_promptTrue,ent_met_none2_promptTrue,acc_met_none2_promptTrue,ent_met_none3_promptTrue,acc_met_none3_promptTrue,ent_met_none4_promptTrue,acc_met_none4_promptTrue,ent_met_none0_promptFalse,acc_met_none0_promptFalse,ent_met_none1_promptFalse,acc_met_none1_promptFalse,ent_met_none2_promptFalse,acc_met_none2_promptFalse,ent_met_none3_promptFalse,acc_met_none3_promptFalse,ent_met_none4_promptFalse,acc_met_none4_promptFalse,f_score0_promptFalse,f_score4_promptFalse,f_score2_promptFalse,f_score3_promptFalse,f_score1_promptFalse,f_score0_promptFalse,f_score0_promptTrue,f_score4_promptFalse,f_score4_promptTrue,f_score2_promptFalse,f_score2_promptTrue,f_score3_promptFalse,f_score3_promptTrue,f_score1_promptFalse,f_score1_promptTrue,f_score0_promptFalse,f_score0_promptTrue,f_score4_promptFalse,f_score4_promptTrue,f_score2_promptFalse,f_score2_promptTrue,f_score3_promptFalse,f_score3_promptTrue,f_score1_promptFalse,f_score1_promptTrue,f_score0_promptFalse,f_score4_promptFalse,f_score2_promptFalse,f_score3_promptFalse,f_score1_promptFalse,f_score0_promptFalse,f_score0_promptTrue,f_score2_promptFalse,f_score2_promptTrue,f_score3_promptTrue,f_score1_promptFalse,f_score1_promptTrue,f_score0_promptFalse,f_score4_promptFalse,f_score2_promptFalse,f_score3_promptFalse,f_score1_promptFalse,f_score0_promptFalse,f_score4_promptFalse,f_score2_promptFalse,f_score3_promptFalse,f_score1_promptFalse,f_score0_promptFalse,f_score4_promptFalse,f_score2_promptFalse,f_score3_promptFalse,f_score1_promptFalse,f_score0_promptTrue,f_score0_promptFalse,f_score4_promptFalse,f_score2_promptFalse,f_score3_promptFalse,f_score1_promptFalse,f_score0_promptFalse,f_score0_promptTrue,f_score2_promptFalse,f_score2_promptTrue,f_score3_promptTrue,f_score1_promptFalse,f_score1_promptTrue,f_score0_promptFalse,f_score4_promptFalse,f_score2_promptFalse,f_score3_promptFalse,f_score1_promptFalse,f_score0_promptFalse,f_score0_promptTrue
0,0,0.6185185185185185,blip2-opt-6.7b,0,0-405-668-7,0_prompt,False,4,,,,,,,,,,,157,0,,,,,,,,,,,,,,,,,,,54,0,,,,,,,,,,,,,,,,,,,72,0,,,,,,,,,,,,,,,,,,,123,0,,,,,,,,,,,,,,,,,,,674,668,,,,,,,,,0,,,,,0,,,,,,,,,,0,,,,,,,,,,0,,,,,0,,,,,,,0,,,,,0,,,,,0,,,,,,0,,,,,0,,,,,,,0,,,,,0,
0,0,0.6166666666666667,blip2-opt-6.7b,0,0-404-666-10,0_prompt,False,3,,,,,,,,,,,157,0,,,,,,,,,,,,,,,,,,,54,0,,,,,,,,,,,,,,,,,,,72,0,,,,,,,,,,,,,,,,,,,123,0,,,,,,,,,,,,,,,,,,,674,666,,,,,,,,,0,,,,,0,,,,,,,,,,0,,,,,,,,,,0,,,,,0,,,,,,,0,,,,,0,,,,,0,,,,,,0,,,,,0,,,,,,,0,,,,,0,
0,0,0.6,blip2-opt-6.7b,0,0-394-648-38,0_prompt,False,2,,,,,,,,,,,157,0,,,,,,,,,,,,,,,,,,,54,0,,,,,,,,,,,,,,,,,,,72,0,,,,,,,,,,,,,,,,,,,123,0,,,,,,,,,,,,,,,,,,,674,648,,,,,,,,,0,,,,,0,,,,,,,,,,0,,,,,,,,,,0,,,,,0,,,,,,,0,,,,,0,,,,,0,,,,,,0,,,,,0,,,,,,,0,,,,,0,
0.05533596837944664,0.038356164383561646,0.5574074074074075,blip2-opt-6.7b,0.09929078014184398,14-351-588-127,0_prompt,False,1,,,,,,,,,,,157,8,,,,,,,,,,,,,,,,,,,54,1,,,,,,,,,,,,,,,,,,,72,3,,,,,,,,,,,,,,,,,,,123,2,,,,,,,,,,,,,,,,,,,674,588,,,,,,,,,0.05533596837944664,,,,,0.05533596837944664,,,,,,,,,,0.05533596837944664,,,,,,,,,,0.05533596837944664,,,,,0.05533596837944664,,,,,,,0.05533596837944664,,,,,0.05533596837944664,,,,,0.05533596837944664,,,,,,0.05533596837944664,,,,,0.05533596837944664,,,,,,,0.05533596837944664,,,,,0.05533596837944664,
0.004784688995215311,0.0024875621890547263,0.6148148148148148,blip2-opt-6.7b,0.0625,1-401-663-15,0_prompt,False,0,,,,,,,,,,,157,0,,,,,,,,,,,,,,,,,,,54,0,,,,,,,,,,,,,,,,,,,72,0,,,,,,,,,,,,,,,,,,,123,1,,,,,,,,,,,,,,,,,,,674,663,,,,,,,,,0.004784688995215311,,,,,0.004784688995215311,,,,,,,,,,0.004784688995215311,,,,,,,,,,0.004784688995215311,,,,,0.004784688995215311,,,,,,,0.004784688995215311,,,,,0.004784688995215311,,,,,0.004784688995215311,,,,,,0.004784688995215311,,,,,0.004784688995215311,,,,,,,0.004784688995215311,,,,,0.004784688995215311,
0,0,0.6240740740740741,blip2-opt-6.7b,0,0-406-674-0,0_prompt,True,5,157,0,,,,,,,,,,,,,,,,,,,54,0,,,,,,,,,,,,,,,,,,,72,0,,,,,,,,,,,,,,,,,,,123,0,,,,,,,,,,,,,,,,,,,674,674,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,0,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,0,,,,,,,0,,,,,,,,,,,,0
0,0,0.6212962962962963,blip2-opt-6.7b,0,0-406-671-3,0_prompt,True,4,157,0,,,,,,,,,,,,,,,,,,,54,0,,,,,,,,,,,,,,,,,,,72,0,,,,,,,,,,,,,,,,,,,123,0,,,,,,,,,,,,,,,,,,,674,671,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,0,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,0,,,,,,,0,,,,,,,,,,,,0
0,0,0.6055555555555555,blip2-opt-6.7b,0,0-400-654-26,0_prompt,True,3,157,0,,,,,,,,,,,,,,,,,,,54,0,,,,,,,,,,,,,,,,,,,72,0,,,,,,,,,,,,,,,,,,,123,0,,,,,,,,,,,,,,,,,,,674,654,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,0,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,0,,,,,,,0,,,,,,,,,,,,0
0.0047281323877068565,0.0025252525252525255,0.6101851851851852,blip2-opt-6.7b,0.037037037037037035,1-395-658-26,0_prompt,True,2,157,0,,,,,,,,,,,,,,,,,,,54,0,,,,,,,,,,,,,,,,,,,72,1,,,,,,,,,,,,,,,,,,,123,0,,,,,,,,,,,,,,,,,,,674,658,,,,,,,,,,,,,,,,,,,,,,,,,0.0047281323877068565,,,,,,,,,,0.0047281323877068565,,,,,,,,,,,,,,,0.0047281323877068565,,,,,,,,,,,,,,,,,,,,,0.0047281323877068565,,,,,,,0.0047281323877068565,,,,,,,,,,,,0.0047281323877068565
0.049079754601226995,0.032,0.5694444444444444,blip2-opt-6.7b,0.10526315789473684,12-363-603-102,0_prompt,True,1,157,9,,,,,,,,,,,,,,,,,,,54,1,,,,,,,,,,,,,,,,,,,72,1,,,,,,,,,,,,,,,,,,,123,1,,,,,,,,,,,,,,,,,,,674,603,,,,,,,,,,,,,,,,,,,,,,,,,0.049079754601226995,,,,,,,,,,0.049079754601226995,,,,,,,,,,,,,,,0.049079754601226995,,,,,,,,,,,,,,,,,,,,,0.049079754601226995,,,,,,,0.049079754601226995,,,,,,,,,,,,0.049079754601226995
