f_score,recall,accuracy,model,precision,mets,prompt,img,shots,ent_met_person0_promptTrue,acc_met_person0_promptTrue,f_scoreperson0_promptTrue,ent_met_person1_promptTrue,acc_met_person1_promptTrue,f_scoreperson1_promptTrue,ent_met_person2_promptTrue,acc_met_person2_promptTrue,f_scoreperson2_promptTrue,ent_met_person3_promptTrue,acc_met_person3_promptTrue,f_scoreperson3_promptTrue,ent_met_person4_promptTrue,acc_met_person4_promptTrue,f_scoreperson4_promptTrue,ent_met_person0_promptFalse,acc_met_person0_promptFalse,f_scoreperson0_promptFalse,ent_met_person1_promptFalse,acc_met_person1_promptFalse,f_scoreperson1_promptFalse,ent_met_person2_promptFalse,acc_met_person2_promptFalse,f_scoreperson2_promptFalse,ent_met_person3_promptFalse,acc_met_person3_promptFalse,f_scoreperson3_promptFalse,ent_met_person4_promptFalse,acc_met_person4_promptFalse,f_scoreperson4_promptFalse,ent_met_misceallonous0_promptTrue,acc_met_misceallonous0_promptTrue,f_scoremisceallonous0_promptTrue,ent_met_misceallonous1_promptTrue,acc_met_misceallonous1_promptTrue,f_scoremisceallonous1_promptTrue,ent_met_misceallonous2_promptTrue,acc_met_misceallonous2_promptTrue,f_scoremisceallonous2_promptTrue,ent_met_misceallonous3_promptTrue,acc_met_misceallonous3_promptTrue,f_scoremisceallonous3_promptTrue,ent_met_misceallonous4_promptTrue,acc_met_misceallonous4_promptTrue,f_scoremisceallonous4_promptTrue,ent_met_misceallonous0_promptFalse,acc_met_misceallonous0_promptFalse,f_scoremisceallonous0_promptFalse,ent_met_misceallonous1_promptFalse,acc_met_misceallonous1_promptFalse,f_scoremisceallonous1_promptFalse,ent_met_misceallonous2_promptFalse,acc_met_misceallonous2_promptFalse,f_scoremisceallonous2_promptFalse,ent_met_misceallonous3_promptFalse,acc_met_misceallonous3_promptFalse,f_scoremisceallonous3_promptFalse,ent_met_misceallonous4_promptFalse,acc_met_misceallonous4_promptFalse,f_scoremisceallonous4_promptFalse,ent_met_organization0_promptTrue,acc_met_organization0_promptTrue,f_scoreorganization0_promptTrue,ent_met_organization1_promptTrue,acc_met_organization1_promptTrue,f_scoreorganization1_promptTrue,ent_met_organization2_promptTrue,acc_met_organization2_promptTrue,f_scoreorganization2_promptTrue,ent_met_organization3_promptTrue,acc_met_organization3_promptTrue,f_scoreorganization3_promptTrue,ent_met_organization4_promptTrue,acc_met_organization4_promptTrue,f_scoreorganization4_promptTrue,ent_met_organization0_promptFalse,acc_met_organization0_promptFalse,f_scoreorganization0_promptFalse,ent_met_organization1_promptFalse,acc_met_organization1_promptFalse,f_scoreorganization1_promptFalse,ent_met_organization2_promptFalse,acc_met_organization2_promptFalse,f_scoreorganization2_promptFalse,ent_met_organization3_promptFalse,acc_met_organization3_promptFalse,f_scoreorganization3_promptFalse,ent_met_organization4_promptFalse,acc_met_organization4_promptFalse,f_scoreorganization4_promptFalse,ent_met_location0_promptTrue,acc_met_location0_promptTrue,f_scorelocation0_promptTrue,ent_met_location1_promptTrue,acc_met_location1_promptTrue,f_scorelocation1_promptTrue,ent_met_location2_promptTrue,acc_met_location2_promptTrue,f_scorelocation2_promptTrue,ent_met_location3_promptTrue,acc_met_location3_promptTrue,f_scorelocation3_promptTrue,ent_met_location4_promptTrue,acc_met_location4_promptTrue,f_scorelocation4_promptTrue,ent_met_location0_promptFalse,acc_met_location0_promptFalse,f_scorelocation0_promptFalse,ent_met_location1_promptFalse,acc_met_location1_promptFalse,f_scorelocation1_promptFalse,ent_met_location2_promptFalse,acc_met_location2_promptFalse,f_scorelocation2_promptFalse,ent_met_location3_promptFalse,acc_met_location3_promptFalse,f_scorelocation3_promptFalse,ent_met_location4_promptFalse,acc_met_location4_promptFalse,f_scorelocation4_promptFalse,ent_met_none0_promptTrue,acc_met_none0_promptTrue,f_scorenone0_promptTrue,ent_met_none1_promptTrue,acc_met_none1_promptTrue,f_scorenone1_promptTrue,ent_met_none2_promptTrue,acc_met_none2_promptTrue,f_scorenone2_promptTrue,ent_met_none3_promptTrue,acc_met_none3_promptTrue,f_scorenone3_promptTrue,ent_met_none4_promptTrue,acc_met_none4_promptTrue,f_scorenone4_promptTrue,ent_met_none0_promptFalse,acc_met_none0_promptFalse,f_scorenone0_promptFalse,ent_met_none1_promptFalse,acc_met_none1_promptFalse,f_scorenone1_promptFalse,ent_met_none2_promptFalse,acc_met_none2_promptFalse,f_scorenone2_promptFalse,ent_met_none3_promptFalse,acc_met_none3_promptFalse,f_scorenone3_promptFalse,ent_met_none4_promptFalse,acc_met_none4_promptFalse,f_scorenone4_promptFalse
0.06259314456035768,0.043478260869565216,0.45065502183406114,llama-7b-hf,0.11170212765957446,21-462-495-167,0_prompt,False,5,,,,,,,,,,,,,,,,275,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,58,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,125,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,59,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,628,495,,,,,,,,,,,,,
0.06470588235294118,0.04592901878914405,0.44454148471615723,llama-7b-hf,0.10945273631840796,22-457-487-179,0_prompt,False,4,,,,,,,,,,,,,,,,275,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,58,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,125,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,59,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,628,487,,,,,,,,,,,,,
0.08136482939632546,0.0668103448275862,0.388646288209607,llama-7b-hf,0.1040268456375839,31-433-414-267,0_prompt,False,3,,,,,,,,,,,,,,,,275,18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,58,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,125,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,59,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,628,414,,,,,,,,,,,,,
0.0736842105263158,0.06100217864923747,0.3851528384279476,llama-7b-hf,0.09302325581395349,28-431-413-273,0_prompt,False,2,,,,,,,,,,,,,,,,275,15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,58,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,125,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,59,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,628,413,,,,,,,,,,,,,
0.16961130742049474,0.15894039735099338,0.38427947598253276,llama-7b-hf,0.18181818181818182,72-381-368-324,0_prompt,False,1,,,,,,,,,,,,,,,,275,41,,,,,,,,,,,,,,,,,,,,,,,,,,,,,58,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,125,16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,59,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,628,368,,,,,,,,,,,,,
0.21295279912184412,0.22453703703703703,0.3737991266375546,llama-7b-hf,0.20250521920668058,97-335-331-382,0_prompt,False,0,,,,,,,,,,,,,,,,275,67,,,,,,,,,,,,,,,,,,,,,,,,,,,,,58,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,125,19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,59,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,628,331,,,,,,,,,,,,,
0.014285714285714284,0.010638297872340425,0.39737991266375544,llama-7b-hf,0.021739130434782608,5-465-450-225,4_prompt,False,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,275,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,58,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,125,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,59,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,628,450,
0.028328611898016998,0.021645021645021644,0.4008733624454148,llama-7b-hf,0.040983606557377046,10-452-449-234,4_prompt,False,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,275,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,58,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,125,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,59,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,628,449,
0.03316326530612245,0.02947845804988662,0.33799126637554583,llama-7b-hf,0.037900874635568516,13-428-374-330,4_prompt,False,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,275,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,58,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,125,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,59,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,628,374,
0.02777777777777778,0.01882845188284519,0.4497816593886463,llama-7b-hf,0.052941176470588235,9-469-506-161,4_prompt,False,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,275,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,58,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,125,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,59,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,628,506,
