f_score,recall,accuracy,model,precision,mets,prompt,img,shots,ent_met_person0_promptTrue,acc_met_person0_promptTrue,ent_met_person1_promptTrue,acc_met_person1_promptTrue,ent_met_person2_promptTrue,acc_met_person2_promptTrue,ent_met_person3_promptTrue,acc_met_person3_promptTrue,ent_met_person4_promptTrue,acc_met_person4_promptTrue,ent_met_person0_promptFalse,acc_met_person0_promptFalse,ent_met_person1_promptFalse,acc_met_person1_promptFalse,ent_met_person2_promptFalse,acc_met_person2_promptFalse,ent_met_person3_promptFalse,acc_met_person3_promptFalse,ent_met_person4_promptFalse,acc_met_person4_promptFalse,ent_met_misceallonous0_promptTrue,acc_met_misceallonous0_promptTrue,ent_met_misceallonous1_promptTrue,acc_met_misceallonous1_promptTrue,ent_met_misceallonous2_promptTrue,acc_met_misceallonous2_promptTrue,ent_met_misceallonous3_promptTrue,acc_met_misceallonous3_promptTrue,ent_met_misceallonous4_promptTrue,acc_met_misceallonous4_promptTrue,ent_met_misceallonous0_promptFalse,acc_met_misceallonous0_promptFalse,ent_met_misceallonous1_promptFalse,acc_met_misceallonous1_promptFalse,ent_met_misceallonous2_promptFalse,acc_met_misceallonous2_promptFalse,ent_met_misceallonous3_promptFalse,acc_met_misceallonous3_promptFalse,ent_met_misceallonous4_promptFalse,acc_met_misceallonous4_promptFalse,ent_met_organization0_promptTrue,acc_met_organization0_promptTrue,ent_met_organization1_promptTrue,acc_met_organization1_promptTrue,ent_met_organization2_promptTrue,acc_met_organization2_promptTrue,ent_met_organization3_promptTrue,acc_met_organization3_promptTrue,ent_met_organization4_promptTrue,acc_met_organization4_promptTrue,ent_met_organization0_promptFalse,acc_met_organization0_promptFalse,ent_met_organization1_promptFalse,acc_met_organization1_promptFalse,ent_met_organization2_promptFalse,acc_met_organization2_promptFalse,ent_met_organization3_promptFalse,acc_met_organization3_promptFalse,ent_met_organization4_promptFalse,acc_met_organization4_promptFalse,ent_met_location0_promptTrue,acc_met_location0_promptTrue,ent_met_location1_promptTrue,acc_met_location1_promptTrue,ent_met_location2_promptTrue,acc_met_location2_promptTrue,ent_met_location3_promptTrue,acc_met_location3_promptTrue,ent_met_location4_promptTrue,acc_met_location4_promptTrue,ent_met_location0_promptFalse,acc_met_location0_promptFalse,ent_met_location1_promptFalse,acc_met_location1_promptFalse,ent_met_location2_promptFalse,acc_met_location2_promptFalse,ent_met_location3_promptFalse,acc_met_location3_promptFalse,ent_met_location4_promptFalse,acc_met_location4_promptFalse,ent_met_none0_promptTrue,acc_met_none0_promptTrue,ent_met_none1_promptTrue,acc_met_none1_promptTrue,ent_met_none2_promptTrue,acc_met_none2_promptTrue,ent_met_none3_promptTrue,acc_met_none3_promptTrue,ent_met_none4_promptTrue,acc_met_none4_promptTrue,ent_met_none0_promptFalse,acc_met_none0_promptFalse,ent_met_none1_promptFalse,acc_met_none1_promptFalse,ent_met_none2_promptFalse,acc_met_none2_promptFalse,ent_met_none3_promptFalse,acc_met_none3_promptFalse,ent_met_none4_promptFalse,acc_met_none4_promptFalse,f_score0_promptFalse,f_score4_promptFalse,f_score2_promptFalse,f_score3_promptFalse,f_score1_promptFalse,f_score0_promptFalse,f_score0_promptTrue,f_score4_promptFalse,f_score4_promptTrue,f_score2_promptFalse,f_score2_promptTrue,f_score3_promptFalse,f_score3_promptTrue,f_score1_promptFalse,f_score1_promptTrue
0.45027124773960214,0.7114285714285714,0.43703703703703706,blip2-flan-t5-xl,0.32936507936507936,249-101-223-507,0_prompt,False,5,,,,,,,,,,,157,110,,,,,,,,,,,,,,,,,,,54,13,,,,,,,,,,,,,,,,,,,72,44,,,,,,,,,,,,,,,,,,,123,82,,,,,,,,,,,,,,,,,,,674,223,,,,,,,,,0.45027124773960214,,,,,0.45027124773960214,,,,,,,,,
0.4416666666666667,0.496875,0.6277777777777778,blip2-flan-t5-xl,0.3975,159-161-519-241,0_prompt,False,4,,,,,,,,,,,157,44,,,,,,,,,,,,,,,,,,,54,3,,,,,,,,,,,,,,,,,,,72,37,,,,,,,,,,,,,,,,,,,123,75,,,,,,,,,,,,,,,,,,,674,519,,,,,,,,,0.4416666666666667,,,,,0.4416666666666667,,,,,,,,,
0.4472843450479233,0.4166666666666667,0.6796296296296296,blip2-flan-t5-xl,0.4827586206896552,140-196-594-150,0_prompt,False,3,,,,,,,,,,,157,36,,,,,,,,,,,,,,,,,,,54,1,,,,,,,,,,,,,,,,,,,72,34,,,,,,,,,,,,,,,,,,,123,69,,,,,,,,,,,,,,,,,,,674,594,,,,,,,,,0.4472843450479233,,,,,0.4472843450479233,,,,,,,,,
0.43537414965986393,0.5128205128205128,0.6157407407407407,blip2-flan-t5-xl,0.37825059101654845,160-152-505-263,0_prompt,False,2,,,,,,,,,,,157,43,,,,,,,,,,,,,,,,,,,54,2,,,,,,,,,,,,,,,,,,,72,40,,,,,,,,,,,,,,,,,,,123,75,,,,,,,,,,,,,,,,,,,674,505,,,,,,,,,0.43537414965986393,,,,,0.43537414965986393,,,,,,,,,
0.43301178992497324,0.637223974763407,0.5101851851851852,blip2-flan-t5-xl,0.32792207792207795,202-115-349-414,0_prompt,False,1,,,,,,,,,,,157,68,,,,,,,,,,,,,,,,,,,54,9,,,,,,,,,,,,,,,,,,,72,43,,,,,,,,,,,,,,,,,,,123,82,,,,,,,,,,,,,,,,,,,674,349,,,,,,,,,0.43301178992497324,,,,,0.43301178992497324,,,,,,,,,
0.5926966292134831,0.5733695652173914,0.7314814814814815,blip2-flan-t5-xl,0.6133720930232558,211-157-579-133,0_prompt,False,0,,,,,,,,,,,157,98,,,,,,,,,,,,,,,,,,,54,0,,,,,,,,,,,,,,,,,,,72,42,,,,,,,,,,,,,,,,,,,123,71,,,,,,,,,,,,,,,,,,,674,579,,,,,,,,,0.5926966292134831,,,,,0.5926966292134831,,,,,,,,,
0.543448275862069,0.5533707865168539,0.6935185185185185,blip2-flan-t5-xl,0.5338753387533876,197-159-552-172,0_prompt,True,5,157,83,,,,,,,,,,,,,,,,,,,54,1,,,,,,,,,,,,,,,,,,,72,39,,,,,,,,,,,,,,,,,,,123,74,,,,,,,,,,,,,,,,,,,674,552,,,,,,,,,,,,,,,,,,,,,,,,,0.543448275862069,,,,,,,,
0.507399577167019,0.6666666666666666,0.5685185185185185,blip2-flan-t5-xl,0.40955631399317405,240-120-374-346,0_prompt,True,4,157,105,,,,,,,,,,,,,,,,,,,54,13,,,,,,,,,,,,,,,,,,,72,42,,,,,,,,,,,,,,,,,,,123,80,,,,,,,,,,,,,,,,,,,674,374,,,,,,,,,,,,,,,,,,,,,,,,,0.507399577167019,,,,,,,,
0.5943661971830986,0.568733153638814,0.7333333333333333,blip2-flan-t5-xl,0.6224188790560472,211-160-581-128,0_prompt,True,3,157,95,,,,,,,,,,,,,,,,,,,54,1,,,,,,,,,,,,,,,,,,,72,39,,,,,,,,,,,,,,,,,,,123,76,,,,,,,,,,,,,,,,,,,674,581,,,,,,,,,,,,,,,,,,,,,,,,,0.5943661971830986,,,,,,,,
0.5190217391304348,0.5426136363636364,0.6722222222222223,blip2-flan-t5-xl,0.4973958333333333,191-161-535-193,0_prompt,True,2,157,78,,,,,,,,,,,,,,,,,,,54,1,,,,,,,,,,,,,,,,,,,72,39,,,,,,,,,,,,,,,,,,,123,73,,,,,,,,,,,,,,,,,,,674,535,,,,,,,,,,,,,,,,,,,,,,,,,0.5190217391304348,,,,,,,,
