index,entities,answers,sentences,entity,corrected_answers,counter_entity
1569,Dish,['1'],are there any hotels nearby that have private rooms available at 1 am,['Hours'],,none
4611,Price,['1'],are there any hotels nearby that have private rooms available at 1 am,['Hours'],,none
48,Rating,['1'],are there any hotels nearby that have private rooms available at 1 am,['Hours'],,none
6132,Location,['1'],are there any hotels nearby that have private rooms available at 1 am,['Hours'],,none
10695,Restaurant_Name,['1'],are there any hotels nearby that have private rooms available at 1 am,['Hours'],,none
3090,Amenity,['1'],are there any hotels nearby that have private rooms available at 1 am,['Hours'],,none
7653,Cuisine,['1'],are there any hotels nearby that have private rooms available at 1 am,['Hours'],,none
9174,Hours,['1'],are there any hotels nearby that have private rooms available at 1 am,['Hours'],1,Hours
8538,Cuisine,"['10 pm', 'open']",its 10 pm is anything open,"['Hours', 'Hours']",,none
2454,Dish,"['10 pm', 'open']",its 10 pm is anything open,"['Hours', 'Hours']",,none
3975,Amenity,"['10 pm', 'open']",its 10 pm is anything open,"['Hours', 'Hours']",,none
933,Rating,"['10 pm', 'open']",its 10 pm is anything open,"['Hours', 'Hours']",,none
10059,Hours,"['10 pm', 'open']",its 10 pm is anything open,"['Hours', 'Hours']",10 pm & open,HoursHours
11580,Restaurant_Name,"['10 pm', 'open']",its 10 pm is anything open,"['Hours', 'Hours']",,none
7017,Location,"['10 pm', 'open']",its 10 pm is anything open,"['Hours', 'Hours']",,none
5496,Price,"['10 pm', 'open']",its 10 pm is anything open,"['Hours', 'Hours']",,none
3060,Amenity,['112 eatery'],are reservations available for four people for 8 pm tonight at 112 eatery,['Restaurant_Name'],,none
18,Rating,['112 eatery'],are reservations available for four people for 8 pm tonight at 112 eatery,['Restaurant_Name'],,none
1539,Dish,['112 eatery'],are reservations available for four people for 8 pm tonight at 112 eatery,['Restaurant_Name'],,none
9144,Hours,['112 eatery'],are reservations available for four people for 8 pm tonight at 112 eatery,['Restaurant_Name'],,none
10665,Restaurant_Name,['112 eatery'],are reservations available for four people for 8 pm tonight at 112 eatery,['Restaurant_Name'],112 eatery,Restaurant_Name
7623,Cuisine,['112 eatery'],are reservations available for four people for 8 pm tonight at 112 eatery,['Restaurant_Name'],,none
4581,Price,['112 eatery'],are reservations available for four people for 8 pm tonight at 112 eatery,['Restaurant_Name'],,none
6102,Location,['112 eatery'],are reservations available for four people for 8 pm tonight at 112 eatery,['Restaurant_Name'],,none
3062,Amenity,"['24 hour', 'breakfast', 'nearby']",are there any 24 hour breakfast places nearby,"['Hours', 'Cuisine', 'Location']",,none
1541,Dish,"['24 hour', 'breakfast', 'nearby']",are there any 24 hour breakfast places nearby,"['Hours', 'Cuisine', 'Location']",,none
10667,Restaurant_Name,"['24 hour', 'breakfast', 'nearby']",are there any 24 hour breakfast places nearby,"['Hours', 'Cuisine', 'Location']",,none
20,Rating,"['24 hour', 'breakfast', 'nearby']",are there any 24 hour breakfast places nearby,"['Hours', 'Cuisine', 'Location']",,none
9146,Hours,"['24 hour', 'breakfast', 'nearby']",are there any 24 hour breakfast places nearby,"['Hours', 'Cuisine', 'Location']",24 hour,HoursHoursHours
6104,Location,"['24 hour', 'breakfast', 'nearby']",are there any 24 hour breakfast places nearby,"['Hours', 'Cuisine', 'Location']",nearby,LocationLocationLocation
7625,Cuisine,"['24 hour', 'breakfast', 'nearby']",are there any 24 hour breakfast places nearby,"['Hours', 'Cuisine', 'Location']",breakfast,CuisineCuisineCuisine
4583,Price,"['24 hour', 'breakfast', 'nearby']",are there any 24 hour breakfast places nearby,"['Hours', 'Cuisine', 'Location']",,none
6984,Location,"['24 hour', 'deli', 'west side of town']",is there any 24 hour deli on the west side of town,"['Hours', 'Cuisine', 'Location']",west side of town,LocationLocationLocation
10026,Hours,"['24 hour', 'deli', 'west side of town']",is there any 24 hour deli on the west side of town,"['Hours', 'Cuisine', 'Location']",24 hour,HoursHoursHours
5463,Price,"['24 hour', 'deli', 'west side of town']",is there any 24 hour deli on the west side of town,"['Hours', 'Cuisine', 'Location']",,none
3942,Amenity,"['24 hour', 'deli', 'west side of town']",is there any 24 hour deli on the west side of town,"['Hours', 'Cuisine', 'Location']",,none
8505,Cuisine,"['24 hour', 'deli', 'west side of town']",is there any 24 hour deli on the west side of town,"['Hours', 'Cuisine', 'Location']",deli,CuisineCuisineCuisine
900,Rating,"['24 hour', 'deli', 'west side of town']",is there any 24 hour deli on the west side of town,"['Hours', 'Cuisine', 'Location']",,none
2421,Dish,"['24 hour', 'deli', 'west side of town']",is there any 24 hour deli on the west side of town,"['Hours', 'Cuisine', 'Location']",,none
11547,Restaurant_Name,"['24 hour', 'deli', 'west side of town']",is there any 24 hour deli on the west side of town,"['Hours', 'Cuisine', 'Location']",,none
7686,Cuisine,['24 hours'],are there any restaurants that are open 24 hours,['Hours'],,none
9207,Hours,['24 hours'],are there any restaurants that are open 24 hours,['Hours'],24 hours,Hours
10728,Restaurant_Name,['24 hours'],are there any restaurants that are open 24 hours,['Hours'],,none
81,Rating,['24 hours'],are there any restaurants that are open 24 hours,['Hours'],,none
3123,Amenity,['24 hours'],are there any restaurants that are open 24 hours,['Hours'],,none
4644,Price,['24 hours'],are there any restaurants that are open 24 hours,['Hours'],,none
6165,Location,['24 hours'],are there any restaurants that are open 24 hours,['Hours'],,none
1602,Dish,['24 hours'],are there any restaurants that are open 24 hours,['Hours'],,none
1877,Dish,"['3 star rated', 'burger restaurant', 'within 10 miles']",find me a 3 star rated burger restaurant within 10 miles,"['Rating', 'Dish', 'Location']",burger restaurant,DishDishDish
356,Rating,"['3 star rated', 'burger restaurant', 'within 10 miles']",find me a 3 star rated burger restaurant within 10 miles,"['Rating', 'Dish', 'Location']",3 star rated,RatingRatingRating
11003,Restaurant_Name,"['3 star rated', 'burger restaurant', 'within 10 miles']",find me a 3 star rated burger restaurant within 10 miles,"['Rating', 'Dish', 'Location']",,none
9482,Hours,"['3 star rated', 'burger restaurant', 'within 10 miles']",find me a 3 star rated burger restaurant within 10 miles,"['Rating', 'Dish', 'Location']",,none
6440,Location,"['3 star rated', 'burger restaurant', 'within 10 miles']",find me a 3 star rated burger restaurant within 10 miles,"['Rating', 'Dish', 'Location']",within 10 miles,LocationLocationLocation
3398,Amenity,"['3 star rated', 'burger restaurant', 'within 10 miles']",find me a 3 star rated burger restaurant within 10 miles,"['Rating', 'Dish', 'Location']",,none
4919,Price,"['3 star rated', 'burger restaurant', 'within 10 miles']",find me a 3 star rated burger restaurant within 10 miles,"['Rating', 'Dish', 'Location']",,none
7961,Cuisine,"['3 star rated', 'burger restaurant', 'within 10 miles']",find me a 3 star rated burger restaurant within 10 miles,"['Rating', 'Dish', 'Location']",,none
189,Rating,"['4 star or higher', 'italian']",can you locate a 4 star or higher restaurant that serves italian food,"['Rating', 'Cuisine']",4 star or higher,RatingRating
9315,Hours,"['4 star or higher', 'italian']",can you locate a 4 star or higher restaurant that serves italian food,"['Rating', 'Cuisine']",,none
7794,Cuisine,"['4 star or higher', 'italian']",can you locate a 4 star or higher restaurant that serves italian food,"['Rating', 'Cuisine']",italian,CuisineCuisine
4752,Price,"['4 star or higher', 'italian']",can you locate a 4 star or higher restaurant that serves italian food,"['Rating', 'Cuisine']",,none
1710,Dish,"['4 star or higher', 'italian']",can you locate a 4 star or higher restaurant that serves italian food,"['Rating', 'Cuisine']",,none
10836,Restaurant_Name,"['4 star or higher', 'italian']",can you locate a 4 star or higher restaurant that serves italian food,"['Rating', 'Cuisine']",,none
6273,Location,"['4 star or higher', 'italian']",can you locate a 4 star or higher restaurant that serves italian food,"['Rating', 'Cuisine']",,none
3231,Amenity,"['4 star or higher', 'italian']",can you locate a 4 star or higher restaurant that serves italian food,"['Rating', 'Cuisine']",,none
3611,Amenity,"['4 star rated', 'subway', 'nearby']",i need a 4 star rated subway nearby,"['Rating', 'Restaurant_Name', 'Location']",,none
2090,Dish,"['4 star rated', 'subway', 'nearby']",i need a 4 star rated subway nearby,"['Rating', 'Restaurant_Name', 'Location']",,none
11216,Restaurant_Name,"['4 star rated', 'subway', 'nearby']",i need a 4 star rated subway nearby,"['Rating', 'Restaurant_Name', 'Location']",subway,Restaurant_NameRestaurant_NameRestaurant_Name
8174,Cuisine,"['4 star rated', 'subway', 'nearby']",i need a 4 star rated subway nearby,"['Rating', 'Restaurant_Name', 'Location']",,none
9695,Hours,"['4 star rated', 'subway', 'nearby']",i need a 4 star rated subway nearby,"['Rating', 'Restaurant_Name', 'Location']",,none
5132,Price,"['4 star rated', 'subway', 'nearby']",i need a 4 star rated subway nearby,"['Rating', 'Restaurant_Name', 'Location']",,none
6653,Location,"['4 star rated', 'subway', 'nearby']",i need a 4 star rated subway nearby,"['Rating', 'Restaurant_Name', 'Location']",nearby,LocationLocationLocation
569,Rating,"['4 star rated', 'subway', 'nearby']",i need a 4 star rated subway nearby,"['Rating', 'Restaurant_Name', 'Location']",4 star rated,RatingRatingRating
8684,Cuisine,['5 minute drive'],tell me what restaurants are available within a 5 minute drive,['Location'],,none
11726,Restaurant_Name,['5 minute drive'],tell me what restaurants are available within a 5 minute drive,['Location'],,none
5642,Price,['5 minute drive'],tell me what restaurants are available within a 5 minute drive,['Location'],,none
4121,Amenity,['5 minute drive'],tell me what restaurants are available within a 5 minute drive,['Location'],,none
10205,Hours,['5 minute drive'],tell me what restaurants are available within a 5 minute drive,['Location'],,none
2600,Dish,['5 minute drive'],tell me what restaurants are available within a 5 minute drive,['Location'],,none
1079,Rating,['5 minute drive'],tell me what restaurants are available within a 5 minute drive,['Location'],,none
7163,Location,['5 minute drive'],tell me what restaurants are available within a 5 minute drive,['Location'],5 minute drive,Location
6701,Location,"['5 star', 'carry out']",i want a 5 star restaurant that does carry out,"['Rating', 'Amenity']",,none
9743,Hours,"['5 star', 'carry out']",i want a 5 star restaurant that does carry out,"['Rating', 'Amenity']",,none
11264,Restaurant_Name,"['5 star', 'carry out']",i want a 5 star restaurant that does carry out,"['Rating', 'Amenity']",,none
617,Rating,"['5 star', 'carry out']",i want a 5 star restaurant that does carry out,"['Rating', 'Amenity']",5 star,RatingRating
8222,Cuisine,"['5 star', 'carry out']",i want a 5 star restaurant that does carry out,"['Rating', 'Amenity']",,none
3659,Amenity,"['5 star', 'carry out']",i want a 5 star restaurant that does carry out,"['Rating', 'Amenity']",carry out,AmenityAmenity
2138,Dish,"['5 star', 'carry out']",i want a 5 star restaurant that does carry out,"['Rating', 'Amenity']",,none
5180,Price,"['5 star', 'carry out']",i want a 5 star restaurant that does carry out,"['Rating', 'Amenity']",,none
6816,Location,"['5 star', 'closest']",im looking for a 5 star restaurant whats the closest one,"['Rating', 'Location']",closest,LocationLocation
9858,Hours,"['5 star', 'closest']",im looking for a 5 star restaurant whats the closest one,"['Rating', 'Location']",,none
8337,Cuisine,"['5 star', 'closest']",im looking for a 5 star restaurant whats the closest one,"['Rating', 'Location']",,none
11379,Restaurant_Name,"['5 star', 'closest']",im looking for a 5 star restaurant whats the closest one,"['Rating', 'Location']",,none
732,Rating,"['5 star', 'closest']",im looking for a 5 star restaurant whats the closest one,"['Rating', 'Location']",5 star,RatingRating
2253,Dish,"['5 star', 'closest']",im looking for a 5 star restaurant whats the closest one,"['Rating', 'Location']",,none
5295,Price,"['5 star', 'closest']",im looking for a 5 star restaurant whats the closest one,"['Rating', 'Location']",,none
3774,Amenity,"['5 star', 'closest']",im looking for a 5 star restaurant whats the closest one,"['Rating', 'Location']",,none
11217,Restaurant_Name,"['5 star', 'sushi bar', 'close by']",i need a 5 star rated sushi bar close by,"['Rating', 'Cuisine', 'Location']",,none
8175,Cuisine,"['5 star', 'sushi bar', 'close by']",i need a 5 star rated sushi bar close by,"['Rating', 'Cuisine', 'Location']",sushi bar,CuisineCuisineCuisine
9696,Hours,"['5 star', 'sushi bar', 'close by']",i need a 5 star rated sushi bar close by,"['Rating', 'Cuisine', 'Location']",,none
6654,Location,"['5 star', 'sushi bar', 'close by']",i need a 5 star rated sushi bar close by,"['Rating', 'Cuisine', 'Location']",close by,LocationLocationLocation
5133,Price,"['5 star', 'sushi bar', 'close by']",i need a 5 star rated sushi bar close by,"['Rating', 'Cuisine', 'Location']",,none
570,Rating,"['5 star', 'sushi bar', 'close by']",i need a 5 star rated sushi bar close by,"['Rating', 'Cuisine', 'Location']",5 star,RatingRatingRating
3612,Amenity,"['5 star', 'sushi bar', 'close by']",i need a 5 star rated sushi bar close by,"['Rating', 'Cuisine', 'Location']",,none
2091,Dish,"['5 star', 'sushi bar', 'close by']",i need a 5 star rated sushi bar close by,"['Rating', 'Cuisine', 'Location']",,none
3907,Amenity,['5 star rating'],is there a restaurant that has a 5 star rating for it that people like,['Rating'],,none
5428,Price,['5 star rating'],is there a restaurant that has a 5 star rating for it that people like,['Rating'],,none
2386,Dish,['5 star rating'],is there a restaurant that has a 5 star rating for it that people like,['Rating'],,none
8470,Cuisine,['5 star rating'],is there a restaurant that has a 5 star rating for it that people like,['Rating'],,none
865,Rating,['5 star rating'],is there a restaurant that has a 5 star rating for it that people like,['Rating'],5 star rating,Rating
11512,Restaurant_Name,['5 star rating'],is there a restaurant that has a 5 star rating for it that people like,['Rating'],,none
6949,Location,['5 star rating'],is there a restaurant that has a 5 star rating for it that people like,['Rating'],,none
9991,Hours,['5 star rating'],is there a restaurant that has a 5 star rating for it that people like,['Rating'],,none
